county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,522403,512174,508173,501125,511740,478069,469263,477327,489988,512266,545715,546011,553871,564243,565245,568342,545023,534587,1554943,10960508
Alameda County,19636,20359,20029,19354,19614,17419,16831,17253,17495,17994,19320,19033,19099,19648,19245,19630,19101,18865,55892,395817
Alpine County,7,14,17,14,12,11,12,10,7,14,15,16,15,13,18,16,15,19,41,286
Amador County,278,268,286,300,271,364,329,334,376,375,402,407,425,433,445,504,527,703,1386,8413
Butte County,2313,2330,2243,2322,2364,2321,2336,2390,2494,2688,2751,2717,2743,2978,2970,3105,3062,2989,15218,62334
Calaveras County,354,336,399,379,432,446,470,487,512,541,606,561,610,677,697,742,666,675,1447,11037
Colusa County,350,322,351,315,343,321,305,339,295,320,375,341,347,356,335,374,358,405,897,7049
Contra Costa County,12936,13081,13403,13492,13856,13459,13458,13503,13769,14256,14742,15007,15070,15487,15906,16050,15386,14807,36220,293888
Del Norte County,311,293,269,332,277,277,307,337,325,339,358,370,387,431,405,406,430,406,1117,7377
El Dorado County,1827,1950,2006,2016,2046,2121,2178,2211,2260,2416,2590,2581,2558,2864,2861,3055,2767,2858,6089,49254
Fresno County,15491,14802,14750,14339,14498,13709,13434,13673,13848,14300,15289,15600,15808,16040,16025,15934,15477,14965,42886,310868
Glenn County,436,440,421,407,438,394,398,441,389,424,471,420,451,454,487,496,484,471,1183,9105
Humboldt County,1574,1423,1333,1472,1430,1325,1467,1458,1471,1469,1513,1530,1545,1667,1641,1766,1782,1850,7747,35463
Imperial County,2706,2756,2597,2476,2372,2170,2059,2113,2206,2377,2633,2834,2922,2954,3041,3045,2847,2963,7473,54544
Inyo County,214,182,150,184,166,189,177,186,206,213,255,255,266,274,283,306,240,268,587,4601
Kern County,13557,13394,13001,12727,12807,12285,11799,12042,12015,12789,13512,13493,13914,14268,13872,14003,13239,13253,35487,271457
Kings County,2599,2384,2250,2296,2222,2192,2079,2058,2150,2145,2175,2252,2309,2345,2343,2269,2163,2133,6911,47275
Lake County,739,656,681,648,687,698,692,703,755,766,877,865,850,989,990,1000,979,962,2188,16725
Lassen County,311,269,347,284,277,330,340,407,358,357,387,398,422,435,455,503,441,440,1396,8157
Los Angeles County,142995,138865,137857,136962,141338,131551,128943,132317,136176,142494,153061,151190,155370,156769,156880,156082,148683,145443,417308,3010284
Madera County,2390,2295,2307,2233,2268,2011,2038,2051,2141,2155,2346,2217,2227,2452,2346,2469,2370,2236,6073,46625
Marin County,2797,2802,2774,2712,2793,2704,2584,2713,2595,2778,2805,2769,2800,2961,3015,3017,2878,2833,6234,56564
Mariposa County,159,130,150,168,162,147,141,179,171,188,205,234,202,243,271,277,277,253,602,4159
Mendocino County,1109,1011,1065,985,1040,974,1083,998,1025,1127,1199,1097,1117,1255,1327,1421,1331,1361,3435,23960
Merced County,4361,4332,4392,4326,4285,3998,3940,4065,4035,4566,4598,4642,4762,4817,4877,4826,4631,4585,12809,92847
Modoc County,111,94,102,86,91,107,108,116,111,154,132,128,158,119,129,178,167,135,293,2519
Mono County,197,157,114,182,120,155,135,140,153,174,139,175,160,179,197,189,184,186,563,3499
Monterey County,6949,6717,6486,6297,6051,5458,5263,5211,5492,5754,6197,6227,6482,6268,6365,6226,6342,6278,19699,129762
