county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
Napa County,1560,1575,1533,1542,1668,1550,1550,1613,1628,1718,1786,1842,1843,1938,1866,1871,1899,1799,5253,36034
Nevada County,847,802,907,821,886,994,1005,980,1124,1142,1207,1285,1289,1354,1458,1514,1550,1454,3193,23812
Orange County,42141,41195,40814,40722,42373,39550,38668,39708,40689,41908,45171,44805,45301,45713,45081,44906,42340,41980,117131,880196
Placer County,3877,3811,3904,3902,4212,4192,4242,4312,4456,4724,4741,4694,4863,4863,4752,5026,4787,4701,11051,91110
Plumas County,174,184,198,171,176,224,212,221,201,224,252,237,249,308,289,296,350,293,820,5079
Riverside County,29839,29709,30449,30192,30522,29259,28755,28949,29967,31888,34088,34401,34122,34512,34855,34543,33179,31713,85018,655960
Sacramento County,20168,19644,19149,19295,19330,18752,18474,18602,18928,19980,20989,20951,21467,21718,21292,21698,21096,20272,54122,415927
San Benito County,865,851,891,855,871,892,854,880,889,929,928,1049,1000,1004,1013,1023,910,972,2265,18941
San Bernardino County,31271,31199,31398,30566,31408,30397,29919,30439,31745,33481,35571,35998,36178,37217,36992,37753,35674,34902,91532,693640
San Diego County,42853,40691,39676,38588,38736,35744,35355,35866,36743,38904,41390,42062,41939,42534,43215,43419,41767,40754,138704,858940
San Francisco County,7887,7362,6755,6146,6387,5127,4752,4757,4946,4965,5574,5685,5608,6022,5785,6314,6140,6284,22392,128888
San Joaquin County,11022,10789,10721,10819,11113,10300,9927,10203,10513,10769,11544,11513,11592,11891,11952,12016,11617,11167,30409,229877
San Luis Obispo County,2577,2526,2435,2313,2419,2412,2457,2556,2708,2872,2961,3099,2976,3302,3339,3468,3407,3469,19590,70886
San Mateo County,9634,9442,9406,8925,9202,8217,7796,7683,7858,7984,8472,8488,8736,8927,8918,9020,8734,8551,21451,177444
Santa Barbara County,5845,5439,5099,4974,5067,4543,4594,4642,4798,5276,5541,5645,5795,5698,5998,5929,5912,5703,30714,127212
Santa Clara County,24793,25237,25565,24840,25180,21799,21036,20819,20703,21164,22255,22234,22243,22736,22440,22824,22324,21829,61879,471900
Santa Cruz County,3060,3108,2897,2953,2990,2582,2669,2786,2730,2918,3098,3088,3238,3365,3441,3654,3445,3496,17546,73064
Shasta County,2039,2014,1962,1986,2075,1951,2162,2167,2311,2407,2518,2462,2480,2620,2805,2935,2737,2780,7331,49742
Sierra County,33,47,31,25,20,18,29,36,36,36,47,47,40,48,43,41,39,42,98,756
Siskiyou County,486,445,419,426,457,469,494,456,507,514,578,553,573,599,612,684,696,701,1610,11279
Solano County,5360,5577,5568,5642,5635,5460,5296,5414,5686,5780,6176,6239,6573,6503,6474,7000,6703,6455,17233,124774
Sonoma County,5525,5650,5488,5554,5613,5236,5428,5485,5672,5735,6084,6193,6427,6693,6897,6989,6793,6640,19431,127533
Stanislaus County,8133,7910,7961,7933,7999,7761,7475,7524,7934,8214,8595,8767,8637,8875,9365,9004,8834,8694,22471,172086
Sutter County,1417,1416,1405,1280,1347,1236,1200,1240,1294,1365,1427,1470,1407,1532,1547,1455,1440,1530,3761,28769
Tehama County,841,847,773,811,802,729,784,791,842,819,918,1005,976,945,1002,1058,970,1040,2242,18195
Trinity County,126,104,98,113,141,97,123,124,165,142,171,182,185,159,238,184,215,207,427,3201
Tulare County,8081,7718,7670,7499,7583,6908,6588,6652,6950,7160,7753,7779,7851,7845,7885,7877,7485,7505,19507,154296
Tuolumne County,508,466,439,440,491,526,552,547,595,600,595,665,651,736,745,784,800,723,2030,12893
Ventura County,11268,11156,11175,11083,11365,10781,10846,10983,11239,12004,12645,12561,12996,13360,13646,13446,12722,12722,33782,249780
Yolo County,2294,2423,2404,2382,2327,2206,2143,2124,2312,2423,2574,2548,2519,2677,2730,2624,2541,2732,17619,61602
Yuba County,1172,1175,1203,1019,1085,1021,972,1033,989,1048,1113,1105,1098,1173,1144,1098,1090,1135,3150,22823
