county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,496336,506661,526241,548455,568894,579222,578968,545723,498327,487151,487795,485242,484154,467864,477135,480109,468743,448339,1285672,10421031
Alameda County,19498,19854,20926,21479,21897,22508,22313,21493,19726,18875,18720,18473,18587,17651,17777,18099,17585,16911,51073,403445
Alpine County,11,20,8,12,17,18,8,18,24,17,19,20,17,12,6,11,21,23,59,341
Amador County,297,301,331,335,365,402,411,411,367,375,433,393,431,403,426,432,477,602,1288,8480
Butte County,2307,2479,2532,2731,2967,2971,3010,2903,2789,2679,2810,2809,2856,2844,2824,2972,2771,2682,10749,60685
Calaveras County,355,383,415,451,492,562,527,559,542,545,546,561,611,606,651,620,585,522,916,10449
Colusa County,289,311,349,310,333,367,346,354,312,281,335,325,348,309,333,337,362,326,770,6697
Contra Costa County,12531,13187,13795,14390,15137,15163,15500,14640,13647,13348,13635,13386,13397,13023,13260,13237,12683,12005,28358,274322
Del Norte County,314,359,363,384,380,421,434,447,437,407,416,451,425,441,441,476,464,395,886,8341
El Dorado County,1753,1877,2035,2143,2187,2429,2589,2349,2335,2258,2415,2388,2500,2404,2371,2483,2270,2071,4329,45186
Fresno County,13635,13898,14563,15114,15624,15970,16182,15280,13960,13712,13578,13646,13637,13335,13672,13693,13244,12677,34173,289593
Glenn County,393,417,469,459,476,517,495,496,450,438,448,487,489,464,486,514,474,431,919,9322
Humboldt County,1439,1609,1679,1731,1761,1829,1878,1865,1800,1738,1739,1790,1821,1798,1914,1949,1822,1692,6202,38056
Imperial County,2288,2258,2387,2448,2615,2717,2782,2613,2359,2491,2546,2582,2587,2484,2668,2618,2663,2536,5911,51553
Inyo County,193,198,217,240,242,260,257,294,264,266,280,258,295,250,291,289,287,260,441,5082
Kern County,11234,11532,11927,12302,12990,13400,13278,12834,11601,11165,11160,11153,11284,10801,11253,11065,10799,10174,25516,235468
Kings County,2091,2140,2185,2315,2335,2308,2416,2315,1990,2000,1951,1946,1953,1887,1936,1956,1884,1761,4947,42316
Lake County,621,631,662,729,776,823,841,831,815,819,830,843,865,814,845,846,769,715,1356,15431
Lassen County,334,380,416,391,404,458,475,472,437,469,474,449,486,443,470,479,470,411,1304,9222
Los Angeles County,149503,149669,156622,162716,169171,171252,166832,158353,143622,140633,138441,136811,135736,131283,134628,134334,132762,128504,377077,3017949
Madera County,1761,1896,1985,2053,2126,2211,2190,2099,2004,1897,1925,1959,1950,1930,1985,2009,2061,1900,4732,40673
Marin County,2716,2842,2922,3008,3053,3061,3129,2977,2746,2665,2749,2776,2750,2642,2686,2776,2625,2456,5259,55838
Mariposa County,154,160,178,199,182,198,242,220,214,233,228,235,239,221,234,228,233,218,463,4279
Mendocino County,989,1123,1142,1174,1279,1344,1308,1238,1268,1305,1244,1284,1399,1361,1380,1421,1345,1265,2808,25677
Merced County,3616,3758,3968,4004,4435,4475,4557,4187,3837,3856,3805,3758,3825,3729,3833,3923,3725,3468,8373,79132
Modoc County,112,110,115,134,158,180,162,157,133,143,179,152,147,165,149,198,171,148,242,2955
Mono County,160,153,160,179,171,185,180,182,165,170,164,164,154,160,172,158,154,151,388,3370
Monterey County,6279,6263,6501,6751,7058,7090,7130,6575,5842,5806,5741,5801,5736,5638,5586,5632,5614,5220,15824,126087
Napa County,1460,1555,1623,1697,1757,1829,1873,1715,1583,1540,1566,1642,1641,1668,1614,1694,1652,1609,4220,33938
Nevada County,844,910,954,1067,1116,1198,1335,1235,1222,1211,1288,1348,1352,1332,1359,1379,1340,1233,2351,24074
Orange County,43016,43293,44266,46173,47321,48299,48271,44487,39875,38383,38544,38197,38049,36514,37416,38096,37611,36515,103868,848194
Placer County,2864,2947,3154,3411,3647,3715,3954,3717,3380,3276,3488,3480,3540,3357,3480,3562,3269,3064,6685,67990
Plumas County,188,213,226,239,256,276,315,280,280,277,306,328,321,317,336,342,332,278,548,5658
Riverside County,22793,23860,24884,26102,27376,28420,28545,26576,24349,24140,24017,24101,23514,22655,23203,23059,22014,20537,54260,494405
Sacramento County,17202,17971,18614,19657,20704,20923,21266,20490,18929,18141,18061,18073,17963,17299,17664,17651,16965,15948,42159,375680
San Benito County,841,844,895,904,986,982,1027,892,832,773,885,802,856,778,799,779,813,725,1736,17149
San Bernardino County,27861,28857,30453,31690,33256,33968,34577,32612,30129,29513,29435,29417,29456,27721,28175,28115,26934,25415,66955,604539
San Diego County,40104,40928,41789,43515,44956,45396,45886,42549,38414,37793,37939,37617,37497,36193,36214,36771,35764,34217,119487,833029
San Francisco County,7307,7047,6911,7161,6964,7233,7086,6695,6275,6075,6322,6342,6393,6235,6358,6610,6589,6437,21013,141053
San Joaquin County,8460,8860,9413,9853,10246,10488,10666,9990,9344,9078,9158,9085,9167,9057,9293,9375,9127,8677,22364,191701
San Luis Obispo County,2484,2618,2731,2948,3153,3231,3392,3059,3000,2946,3011,3126,3084,3002,3106,3059,3131,3181,14077,68339
San Mateo County,9804,9766,9864,10043,10145,10343,10274,9703,8804,8572,8677,8779,8570,8453,8481,8503,8564,8179,20560,186084
Santa Barbara County,5335,5548,5658,5974,6180,6255,6425,6063,5469,5458,5398,5387,5237,5125,5252,5159,5205,5157,22845,123130
Santa Clara County,24599,25070,25541,26152,26462,26578,26529,24503,22252,21418,21902,21837,21685,21223,21329,21708,21450,20605,58881,479724
Santa Cruz County,3182,3286,3402,3521,3666,3720,3746,3569,3291,3211,3366,3303,3371,3280,3355,3523,3314,3203,12236,73545
Shasta County,1888,2116,2136,2392,2473,2575,2720,2581,2351,2420,2578,2565,2663,2546,2731,2763,2619,2453,5621,50191
Sierra County,29,25,45,37,46,59,54,55,46,41,53,61,52,48,63,54,56,51,71,946
Siskiyou County,464,507,504,602,612,608,667,653,634,603,701,665,788,686,749,761,752,697,1412,13065
Solano County,5485,5795,6151,6509,6653,6818,6890,6828,6145,6045,6201,6096,6096,5882,5922,6046,5759,5364,13390,124075
Sonoma County,5383,5724,5949,6392,6494,6722,6974,6636,6202,6074,6217,6205,6241,6132,6264,6320,6091,5777,15690,127487
Stanislaus County,6801,7165,7419,7980,8302,8387,8668,7903,7362,7419,7427,7544,7479,7343,7350,7400,7088,6620,16389,152046
Sutter County,1109,1205,1251,1326,1342,1420,1460,1343,1267,1273,1247,1246,1296,1272,1256,1330,1253,1161,2794,25851
Tehama County,679,788,772,839,852,930,1016,920,829,839,915,880,938,920,913,951,894,873,1766,17514
