county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,485647,486520,493413,511386,535181,543726,546241,560180,561244,537497,518617,505919,496640,490152,486562,475366,486878,486709,1421123,10629001
Alameda County,19336,19269,19657,20170,20754,21181,21138,21553,21446,20607,19853,19249,19004,18342,18109,17899,18278,18166,55933,409944
Alpine County,10,15,11,11,16,19,7,14,15,15,16,17,18,14,6,11,22,26,64,327
Amador County,284,280,299,304,327,366,357,395,397,396,443,393,444,418,441,425,527,707,1274,8477
Butte County,2219,2278,2253,2462,2654,2660,2594,2738,2979,2853,2849,2832,2849,2957,2876,2966,2939,2948,12017,60923
Calaveras County,328,339,354,396,423,493,440,518,574,585,548,547,614,627,672,598,606,578,1078,10318
Colusa County,288,294,342,285,297,342,315,363,349,287,344,318,344,320,335,338,375,366,889,6791
Contra Costa County,12536,12830,13059,13624,14409,14359,14576,14732,15285,14833,14548,13996,13798,13749,13820,13264,13418,13297,31771,281904
Del Norte County,288,327,323,327,319,360,366,388,422,416,400,440,398,440,434,473,478,428,952,7979
El Dorado County,1676,1730,1840,1942,1956,2192,2275,2273,2587,2444,2508,2413,2592,2542,2472,2485,2438,2329,5068,45762
Fresno County,13268,13307,13581,13903,14411,14661,15078,15485,15348,14794,14218,14019,13795,13896,13846,13570,13850,13948,38579,293557
Glenn County,378,392,437,400,425,462,428,490,469,462,457,486,483,478,484,497,495,465,1037,9225
Humboldt County,1366,1475,1480,1517,1520,1589,1595,1636,1762,1760,1699,1698,1740,1768,1901,1871,1841,1847,6549,36614
Imperial County,2184,2123,2213,2219,2396,2422,2597,2689,2614,2673,2634,2621,2586,2515,2621,2530,2659,2662,6321,51279
Inyo County,184,179,186,215,222,226,222,255,260,276,288,240,283,252,284,280,297,284,496,4929
Kern County,11020,11056,11090,11257,12012,12355,12302,12929,12888,12152,11726,11502,11601,11403,11560,10967,11507,11323,29148,239798
Kings County,2062,2084,2055,2147,2166,2120,2239,2315,2215,2169,2023,2000,1963,1962,1971,1918,1969,1945,5953,43276
Lake County,601,569,583,658,693,743,740,785,872,877,852,864,864,836,868,844,806,811,1570,15436
Lassen County,312,342,378,340,358,405,406,431,443,485,478,435,478,434,446,443,471,432,1393,8910
Los Angeles County,144909,143504,147028,151161,159747,161763,160091,165426,162765,156103,148321,143562,139325,136929,135601,131350,135195,136088,407077,3065945
Madera County,1753,1867,1910,1951,2021,2078,2038,2161,2267,2085,1985,2004,1963,1976,1989,1974,2169,2118,5352,41661
Marin County,2651,2677,2671,2796,2808,2810,2813,2973,3095,2933,2865,2843,2815,2760,2747,2746,2703,2630,5653,55989
Mariposa County,144,144,157,178,158,174,208,191,216,255,227,232,232,223,246,231,236,248,582,4282
Mendocino County,961,1059,1021,1050,1146,1212,1140,1130,1309,1388,1247,1252,1376,1389,1372,1393,1401,1373,3208,25427
Merced County,3567,3611,3747,3719,4183,4144,4297,4327,4347,4247,4065,3935,3969,3969,3956,3976,3978,3885,9693,81615
Modoc County,105,96,95,115,133,155,125,131,133,139,168,142,136,160,138,184,178,156,259,2748
Mono County,150,141,145,161,146,158,156,182,178,178,179,167,153,178,183,160,161,167,478,3421
Monterey County,6233,6070,6175,6337,6739,6683,6824,6957,6763,6460,6179,6156,5977,6035,5823,5796,6090,5994,18220,131511
Napa County,1451,1482,1529,1565,1619,1700,1733,1726,1796,1682,1627,1685,1670,1759,1642,1680,1742,1768,4662,34518
Nevada County,808,823,830,944,987,1071,1133,1170,1310,1271,1272,1340,1348,1373,1401,1366,1417,1400,2729,23993
Orange County,42567,42173,42482,44368,45726,46848,46696,47686,47203,43435,41751,40309,39454,38496,38273,37720,38811,39290,112860,876148
Placer County,2965,2881,3066,3333,3558,3604,3712,3891,3982,3687,3800,3708,3785,3670,3765,3719,3594,3609,7971,72300
Plumas County,174,190,192,203,218,232,269,251,288,284,297,321,303,315,330,333,345,308,636,5489
Riverside County,22802,23430,23971,24865,26273,27334,27666,27947,28204,27593,26394,26173,25217,24821,24803,23938,23967,23342,63318,522058
Sacramento County,17043,17338,17318,18319,19442,19561,19861,20345,20638,19783,18988,18744,18383,18151,18235,17589,17906,17765,47798,383207
San Benito County,910,885,914,916,998,993,1043,986,1018,904,1007,863,927,859,884,826,897,855,2053,18738
San Bernardino County,27236,27679,28529,29428,31271,31895,32763,33342,33801,32916,31618,31121,30820,29507,29214,28244,28487,28272,76488,622631
San Diego County,39396,39300,39154,40769,42538,42886,43403,43596,43473,41919,40518,39519,38736,38256,37201,36626,37443,37403,131850,853986
San Francisco County,7012,6542,6165,6484,6281,6484,6440,6575,6639,6259,6413,6242,6110,6054,6086,6176,6421,6549,22501,137433
San Joaquin County,8418,8630,8907,9245,9719,9862,10079,10188,10512,9957,9799,9553,9461,9641,9573,9396,9603,9559,25713,197815
San Luis Obispo County,2333,2387,2442,2672,2826,2902,3000,2933,3312,3143,3103,3165,3097,3143,3230,3021,3297,3456,15653,69115
San Mateo County,9473,9205,9015,9188,9302,9439,9369,9808,9822,9213,9027,8910,8470,8594,8440,8206,8700,8678,22188,185047
Santa Barbara County,5073,5197,5173,5445,5666,5730,5922,6138,6118,5979,5672,5556,5361,5370,5342,5044,5345,5527,24610,124268
Santa Clara County,23999,23992,23826,24368,24758,24547,24609,25071,24991,23083,22930,22331,21613,21619,21121,21058,21790,21898,63236,480840
Santa Cruz County,3060,3092,3153,3216,3375,3343,3371,3568,3687,3523,3538,3412,3456,3418,3409,3537,3427,3433,13845,74863
Shasta County,1766,1914,1878,2127,2177,2275,2321,2373,2469,2548,2596,2509,2609,2570,2761,2679,2689,2676,6420,49357
Sierra County,28,19,38,29,35,50,43,45,50,42,46,59,54,46,71,55,60,57,81,908
Siskiyou County,432,448,426,519,517,512,551,569,634,595,661,623,751,666,717,718,766,753,1547,12405
Solano County,5389,5586,5741,6070,6186,6335,6378,6723,6608,6567,6563,6345,6219,6176,6106,6076,6119,5970,15226,126383
