county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,492631,484676,490224,502687,520630,531957,535020,540716,553180,556552,555676,526164,513160,498246,494423,493626,484199,493322,1487688,10754777
Alameda County,19756,19233,19633,19831,20114,20760,20706,20767,21191,20873,20984,19971,19605,18579,18270,18540,18178,18299,58554,413844
Alpine County,11,17,10,8,15,13,6,14,16,13,19,19,15,16,17,18,25,23,66,341
Amador County,291,273,295,294,320,345,348,372,372,406,466,418,445,434,435,442,538,722,1287,8503
Butte County,2233,2251,2236,2365,2561,2548,2492,2605,2857,2909,3000,2946,2894,3014,2915,3112,2943,2991,12721,61593
Calaveras County,330,343,345,375,403,479,419,490,545,592,582,571,627,640,698,629,602,598,1175,10443
Colusa County,308,293,348,283,287,336,310,344,337,290,357,325,351,326,338,349,382,378,930,6872
Contra Costa County,12818,12871,13106,13397,14067,14085,14310,14239,14967,15282,15529,14635,14220,14025,14075,13873,13426,13521,33454,285900
Del Norte County,282,305,311,303,307,338,348,362,401,396,405,432,395,442,440,478,478,431,986,7840
El Dorado County,1686,1711,1821,1849,1908,2113,2205,2184,2457,2527,2671,2530,2671,2604,2534,2619,2476,2380,5429,46375
Fresno County,13446,13275,13482,13699,13960,14308,14733,14882,15135,15253,15228,14532,14283,14127,14111,14110,13847,14280,40772,297463
Glenn County,382,377,430,388,413,444,410,467,454,464,481,500,479,494,485,510,494,462,1092,9226
Humboldt County,1352,1437,1460,1436,1437,1500,1520,1530,1657,1665,1754,1734,1719,1752,1877,1921,1812,1845,6828,36236
Imperial County,2175,2089,2150,2172,2276,2315,2498,2542,2559,2773,2821,2667,2672,2515,2653,2584,2591,2675,6513,51240
Inyo County,184,174,178,202,220,212,214,240,248,258,303,240,283,251,282,287,298,285,533,4892
Kern County,11171,11035,10986,11017,11634,12001,11966,12410,12610,12487,12575,11937,11977,11630,11779,11439,11542,11589,30833,242618
Kings County,2109,2089,2032,2122,2108,2061,2188,2236,2182,2243,2162,2074,2024,2000,2031,2004,1988,1993,6356,44002
Lake County,619,562,585,644,675,717,739,763,846,895,927,921,899,855,893,901,819,845,1706,15811
