county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,509037,496602,495884,515387,516537,510555,506909,503197,499038,493263,506500,513854,507413,513107,521663,532113,545962,558121,1692888,10938030
Alameda County,19252,19277,19313,20170,19786,19430,19277,19169,18894,18326,18560,18449,17804,18039,18240,18465,18933,19222,61514,402120
Alpine County,5,3,12,13,16,14,11,15,15,15,12,13,12,10,12,12,13,5,30,238
Amador County,261,282,279,265,288,294,335,338,319,326,331,378,345,351,371,403,410,493,1185,7254
Butte County,2444,2444,2418,2440,2539,2529,2467,2494,2487,2465,2539,2569,2520,2502,2586,2738,2802,2822,13782,59587
Calaveras County,333,356,366,397,445,408,409,413,445,443,486,511,527,556,573,605,661,619,1363,9916
Colusa County,332,321,347,391,373,367,363,350,322,339,351,352,332,344,301,330,388,386,924,7213
Contra Costa County,12336,12900,12972,13825,14338,14268,14423,14711,14618,14603,14972,14979,14805,14789,15055,15298,15477,15775,40237,300381
Del Norte County,334,312,330,333,388,356,314,309,301,322,338,349,287,346,366,349,367,366,1037,7104
El Dorado County,1636,1592,1757,1916,2018,2148,2138,2191,2257,2265,2306,2474,2408,2446,2562,2552,2671,2694,6378,46409
Fresno County,16231,15721,15423,16235,16130,15649,15503,15244,15008,14580,14814,15130,14932,14934,15029,15188,15548,16069,46709,324077
Glenn County,421,436,443,442,422,455,431,405,394,418,418,435,407,447,454,459,464,441,1142,8934
Humboldt County,1555,1497,1475,1505,1611,1545,1504,1461,1352,1453,1466,1390,1439,1474,1451,1425,1513,1612,7597,34325
Imperial County,3082,2693,2761,2743,2749,2695,2823,2716,2816,2694,2736,2925,2869,2851,2924,2903,2936,3013,8813,59742
Inyo County,191,220,221,206,204,213,215,194,192,200,191,209,215,208,237,248,237,251,572,4424
Kern County,14313,14597,14512,14771,14787,14572,14165,13923,13612,13371,13713,13806,13550,13629,13686,13823,14386,14564,41478,295258
Kings County,2551,2446,2497,2604,2617,2462,2362,2345,2251,2227,2230,2241,2197,2272,2248,2226,2209,2210,6976,49171
Lake County,744,731,705,719,704,722,724,699,712,705,694,736,717,731,759,797,830,838,2207,15474
Lassen County,297,314,322,309,300,314,309,286,315,303,312,336,346,356,381,343,390,416,1326,7275
Los Angeles County,132342,127294,126284,130501,129662,127184,126387,125291,124579,124245,128558,131683,130530,133335,136433,140885,144873,147960,450524,2818550
Madera County,2420,2310,2339,2426,2448,2456,2429,2345,2260,2370,2361,2358,2342,2289,2403,2399,2434,2449,6871,49709
Marin County,2431,2517,2728,3010,2983,3037,3161,3171,3236,3100,3116,3057,2871,2830,2847,2854,2910,2891,6866,59616
Mariposa County,149,158,156,156,162,161,175,148,174,179,169,188,175,199,210,203,211,225,518,3716
Mendocino County,1019,1073,1064,1074,1045,1092,1053,1055,1034,1052,1039,1066,1106,1074,1068,1073,1185,1156,3006,22334
Merced County,4296,4334,4260,4424,4632,4541,4480,4472,4382,4363,4495,4521,4340,4354,4387,4646,4592,4803,14564,94886
Modoc County,97,106,95,96,97,105,101,107,122,106,112,108,109,128,112,143,147,136,276,2303
Mono County,156,165,174,181,173,185,173,177,142,166,169,149,152,155,168,170,146,180,516,3497
Monterey County,6822,6509,6530,6798,6755,6472,6470,6337,6049,6050,5870,5903,5715,5748,5758,5855,6111,6364,20339,132455
Napa County,1522,1573,1629,1635,1684,1722,1769,1734,1725,1692,1777,1775,1774,1855,1871,1855,1876,1926,5545,36939
Nevada County,774,826,908,885,905,927,943,975,996,993,1037,1116,1143,1148,1165,1224,1300,1309,3079,21653
Orange County,38240,37654,37169,39317,39603,39485,39822,39825,39897,39548,41110,41935,41249,41898,42831,43384,44653,45557,132133,865310
Placer County,3864,3999,4150,4404,4444,4605,4783,4802,4830,4845,4956,5073,5065,5098,5128,5147,5324,5277,12795,98589
Plumas County,168,185,178,189,199,163,211,200,212,158,188,198,177,202,206,210,231,255,721,4251
Riverside County,30890,31143,31868,33599,34138,33792,33522,33648,33584,33345,34738,35419,35353,35600,36030,36626,37475,38087,106862,725719
Sacramento County,20137,19617,19598,20532,20676,20517,20156,19789,19462,19298,19577,19768,19530,19855,20116,20423,21066,21246,58640,420003
San Benito County,759,791,782,846,872,894,852,849,870,863,906,930,923,950,931,959,942,994,2452,18365
San Bernardino County,31220,30832,31140,32730,32534,32412,31681,31609,31370,31219,32154,33264,33038,33331,34233,34898,35771,36900,102669,693005
San Diego County,44651,40902,40014,41040,40943,40224,39888,39271,38690,38018,38858,39436,38892,39460,39933,40939,42125,43141,146031,872456
San Francisco County,9015,7312,7023,6800,6443,6181,5985,5929,5683,5246,5463,5418,5181,5155,5426,5431,5793,5977,23426,132887
San Joaquin County,10505,10665,10447,10982,11217,11271,11200,10891,10880,10893,11197,11242,11177,11259,11263,11438,11683,12027,32616,232853
San Luis Obispo County,2631,2739,2576,2696,2813,2751,2844,2771,2785,2670,2802,2765,2803,2813,2915,2931,3133,3252,20326,71016
San Mateo County,9165,9301,9192,9325,9336,9425,9281,9157,8995,8759,8798,8783,8450,8370,8510,8565,8660,8754,22702,183528
Santa Barbara County,5762,5513,5410,5612,5537,5535,5540,5273,5169,4993,5245,5267,5242,5196,5247,5539,5623,6022,32210,129935
Santa Clara County,24215,24117,24492,25607,25705,25390,24962,25013,24666,23704,24188,23555,22892,22732,22654,22553,22894,23486,67070,499895
Santa Cruz County,3246,2895,2943,3045,3127,3005,2986,3116,2973,3000,3012,3011,2982,3109,3084,3126,3228,3306,19688,74882
Shasta County,2106,2000,1990,2114,2091,2103,2074,2105,2111,2142,2182,2229,2272,2193,2279,2378,2408,2484,6810,46071
Sierra County,18,28,25,31,26,30,22,21,28,26,30,26,25,32,29,43,40,38,79,597
Siskiyou County,463,438,485,500,507,483,485,511,476,470,477,544,554,514,556,546,540,584,1489,10622
Solano County,5155,5069,5345,5522,5513,5466,5350,5351,5409,5488,5558,5561,5636,5754,5733,5766,5992,6268,17245,117181
Sonoma County,5326,5526,5463,5622,5914,5830,5863,5895,5887,5796,5874,5857,5858,5898,6066,6063,6235,6430,19929,125332
Stanislaus County,7783,7798,7780,8146,8115,8077,8010,7899,8061,7994,7992,8070,8006,8195,8264,8507,8531,8732,23673,169633
Sutter County,1334,1293,1393,1407,1492,1439,1498,1452,1470,1386,1419,1418,1416,1414,1381,1468,1440,1465,4029,29614
Tehama County,731,860,830,855,934,867,854,874,853,826,880,865,852,880,885,918,972,994,2405,18135
Trinity County,111,147,103,120,119,154,139,127,133,135,123,116,139,140,152,173,168,160,384,2843
Tulare County,8099,8091,8138,8445,8356,8252,8299,8053,7944,7825,7947,7960,7764,7597,7790,7789,7854,8002,21707,165912
Tuolumne County,445,433,450,460,488,478,520,499,504,483,497,529,538,597,596,620,602,636,1766,11141
Ventura County,10975,10720,10851,11229,11323,11574,11491,11515,11459,11263,11535,11806,11839,11921,12121,12446,12779,12994,36879,246720
Yolo County,2428,2377,2471,2497,2590,2598,2469,2500,2430,2396,2476,2498,2493,2436,2579,2691,2688,2736,17677,63030
Yuba County,1249,1150,1258,1245,1221,1231,1208,1177,1198,1103,1146,1105,1098,1108,1068,1065,1092,1122,3101,23945
