county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,524357,492051,483207,489022,500661,518081,528352,532773,538974,552954,561366,558615,529980,516992,501914,500567,501860,493740,1498556,10824022
Alameda County,22044,19908,19021,19422,19602,19882,20317,20297,20334,20829,20765,20797,19916,19403,18495,18367,18593,18381,56396,412769
Alpine County,11,17,12,8,8,14,6,14,15,14,19,18,17,15,18,15,21,29,56,327
Amador County,243,314,280,300,327,324,343,368,381,379,425,480,442,448,444,453,498,717,1338,8504
Butte County,2247,2234,2243,2232,2351,2513,2595,2508,2637,2844,2927,3023,2968,2942,3004,2952,3114,2939,14078,62351
Calaveras County,307,342,355,357,406,424,493,439,520,577,621,606,597,648,647,725,649,603,1210,10526
Colusa County,362,307,299,339,278,301,339,298,334,336,302,354,324,359,323,360,363,397,957,6932
Contra Costa County,13131,13183,13134,13415,13563,14276,14158,14561,14492,15061,15586,15745,14871,14406,14250,14315,14069,13732,34304,290252
Del Norte County,285,271,273,319,306,305,341,352,361,401,413,416,417,380,429,443,479,451,1048,7690
El Dorado County,1683,1792,1796,1909,1943,2000,2207,2280,2241,2577,2631,2745,2614,2756,2651,2575,2673,2482,5623,47178
Fresno County,14118,13448,13325,13506,13628,13898,14282,14719,14911,15195,15443,15313,14621,14380,14219,14265,14273,14010,40957,298511
Glenn County,407,376,388,437,391,401,435,407,453,439,474,484,494,497,481,466,508,484,1147,9169
Humboldt County,1448,1323,1428,1457,1423,1459,1482,1497,1528,1657,1674,1745,1717,1731,1749,1871,1964,1833,7343,36329
Imperial County,2474,2137,2092,2099,2147,2231,2274,2478,2548,2574,2807,2832,2735,2706,2543,2647,2572,2629,6917,51442
Inyo County,170,182,172,190,212,212,213,228,240,253,268,284,250,288,257,285,272,308,543,4827
Kern County,11610,11135,11096,11091,11085,11716,11920,12040,12372,12725,12721,12753,12151,12173,11726,12021,11658,11722,31776,245491
Kings County,2200,2173,2110,2038,2092,2099,2047,2174,2209,2214,2236,2199,2073,2045,2069,2067,2021,2022,6672,44760
Lake County,607,629,614,624,660,706,749,809,790,895,957,950,945,916,890,943,928,846,1841,16299
Lassen County,257,336,348,349,333,342,367,382,418,419,469,499,433,469,421,432,449,456,1407,8586
Los Angeles County,153321,143898,140198,142948,147006,152120,155430,154340,157699,160410,161528,158700,148526,144360,138973,138286,137570,135510,415499,3086322
Madera County,2185,1793,1872,1920,1982,1960,2035,1988,2076,2240,2156,2160,2075,2066,1976,2079,2106,2187,5750,42606
Marin County,2893,2703,2664,2657,2660,2750,2723,2768,2869,2972,3053,2998,2912,2875,2811,2784,2832,2670,6102,56696
Mariposa County,131,147,139,152,171,145,169,224,180,207,261,255,234,242,240,267,249,234,624,4271
Mendocino County,1067,1005,1042,993,1009,1116,1168,1083,1092,1261,1369,1342,1284,1381,1387,1411,1448,1397,3379,25234
Merced County,3930,3760,3741,3899,3756,4236,4163,4262,4317,4438,4577,4499,4208,4255,4169,4144,4309,4128,10859,85650
Modoc County,83,107,92,100,103,130,139,122,128,136,126,171,142,127,150,147,179,162,290,2634
Mono County,135,169,127,143,154,152,159,166,178,186,183,200,189,173,202,203,170,168,531,3588
Monterey County,6884,6211,6005,6067,6078,6448,6347,6534,6654,6606,6746,6604,6454,6199,6156,6058,6236,6279,19651,134217
Napa County,1582,1489,1489,1580,1581,1650,1666,1699,1690,1785,1775,1795,1824,1749,1826,1701,1825,1806,5062,35574
Nevada County,807,870,819,856,924,993,1078,1121,1184,1248,1343,1379,1466,1396,1424,1437,1456,1411,3100,24312
Orange County,45815,42624,41501,41870,43220,44436,45673,45647,45821,46126,46021,44923,42013,40885,39160,39214,39481,39223,116664,890317
Placer County,3058,3362,3247,3349,3504,3794,3878,3911,4014,4072,4137,4360,4123,4106,3949,4110,4054,3783,9316,78127
Plumas County,158,191,193,197,187,222,227,259,245,267,313,312,323,297,310,336,327,330,700,5394
Riverside County,24933,24532,24732,25248,25668,26774,27818,28292,28355,29138,30315,29970,28807,27522,26648,26723,26282,25110,69847,556714
Sacramento County,18491,18183,17928,17922,18517,19398,19543,19780,20183,20694,20567,20642,20100,19425,18951,19155,18898,18461,50891,397729
San Benito County,896,984,919,933,935,1005,976,1061,1000,1017,988,1089,907,989,898,933,883,924,2293,19630
San Bernardino County,28451,28172,28149,28902,29476,30849,31516,32502,32631,34129,34824,34798,33345,32604,30649,30434,30335,29176,84168,645110
San Diego County,43138,39204,38295,38340,39240,40857,41422,42064,41807,42585,43812,43678,41598,40188,39211,38185,38545,38075,135462,865706
San Francisco County,8482,6469,5980,5682,5993,5672,5941,6039,5963,6257,6207,6451,6225,6148,5896,5969,6234,6319,22058,133985
San Joaquin County,9810,9170,9248,9487,9698,9963,10050,10341,10210,10851,10888,11003,10481,10316,10245,10166,10362,10067,28151,210507
San Luis Obispo County,2405,2310,2371,2402,2593,2785,2817,2962,2862,3221,3313,3372,3344,3195,3244,3372,3259,3524,18598,71949
San Mateo County,10351,9204,8718,8547,8556,8626,8820,8780,9121,9200,9334,9242,8924,8488,8509,8396,8458,8645,22682,182601
