county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,564236,576438,587627,559808,525228,500834,479554,469819,449671,452892,467302,463570,449487,444889,421770,411140,412606,387939,1226606,9851416
Alameda County,22013,22533,23201,22440,21054,20333,19261,18651,17735,17571,18160,17963,17370,17122,16088,15609,15834,14990,50487,388415
Alpine County,14,18,9,15,23,20,14,25,19,20,19,20,18,9,4,6,16,15,48,332
Amador County,346,335,393,351,363,375,359,373,353,379,426,390,372,373,368,356,347,387,1160,7806
Butte County,2672,2865,3006,2944,2945,2779,2726,2704,2655,2619,2809,2719,2648,2626,2450,2373,2291,2169,9623,57623
Calaveras County,431,459,517,505,510,515,480,503,507,520,535,552,538,550,541,495,491,404,737,9790
Colusa County,294,334,349,300,318,300,291,298,292,287,326,313,324,286,287,259,301,258,637,6054
Contra Costa County,13742,14392,15035,14484,13845,13108,12692,12455,11997,12124,12781,12595,12117,12062,11313,10883,10888,10014,26532,253059
Del Norte County,380,405,420,452,406,429,432,437,420,418,435,456,421,411,383,368,373,318,849,8213
El Dorado County,2043,2151,2373,2286,2137,2196,2203,2109,2179,2163,2297,2282,2150,2163,1979,1945,1840,1626,3681,41803
Fresno County,15104,15511,15907,15198,14372,13844,13437,13274,12872,12928,13117,13054,12668,12447,11819,11400,11062,10329,29958,268301
Glenn County,440,483,517,503,457,466,443,436,451,444,444,488,466,430,431,428,400,366,828,8921
Humboldt County,1730,1831,1966,1974,1911,1862,1825,1800,1829,1863,1816,1873,1807,1808,1708,1634,1589,1376,5429,37631
Imperial County,2705,2748,2762,2567,2477,2503,2428,2422,2375,2495,2647,2648,2633,2613,2554,2474,2500,2287,5527,51365
Inyo County,230,233,273,282,246,270,263,273,248,268,262,278,289,244,268,241,230,217,399,5014
Kern County,12470,12832,13290,12705,12070,11729,11151,11155,10525,10547,10723,10650,10275,10029,9662,9266,8891,8176,22342,218488
Kings County,2215,2260,2309,2270,2088,1959,1956,1946,1758,1830,1859,1815,1817,1739,1634,1608,1541,1398,4394,38396
Lake County,752,779,837,821,802,794,762,770,777,814,838,824,826,792,746,691,667,574,1212,15078
Lassen County,383,426,444,409,367,414,399,421,408,435,430,427,423,418,410,379,385,332,1061,8371
Los Angeles County,174680,176173,176838,167402,156070,146957,138531,135545,128642,129570,133501,132231,129537,128819,123310,121126,122878,117899,377690,2917399
Madera County,1859,2011,2061,1931,1853,1822,1797,1749,1762,1771,1894,1869,1850,1889,1760,1702,1692,1509,3998,36779
Marin County,3123,3223,3417,3126,2924,2742,2639,2606,2530,2528,2661,2652,2512,2488,2398,2378,2417,2225,5371,53960
Mariposa County,199,199,215,233,194,198,209,222,214,214,225,235,229,213,194,173,204,170,417,4157
Mendocino County,1164,1254,1355,1318,1303,1290,1250,1206,1264,1287,1277,1339,1354,1328,1259,1188,1153,1070,2458,25117
Merced County,4191,4415,4550,4250,4165,4056,3922,3800,3681,3755,3762,3693,3599,3575,3401,3308,3187,2910,7754,75974
Modoc County,129,130,136,139,147,162,149,146,140,148,180,169,148,161,144,170,143,130,230,2901
Mono County,186,183,190,186,169,170,150,152,156,158,143,146,141,122,131,120,121,117,331,3072
Monterey County,7350,7465,7590,7119,6614,6347,6103,5861,5469,5655,5740,5697,5550,5506,5054,4936,4982,4651,16333,124022
Napa County,1618,1733,1799,1766,1649,1591,1532,1529,1495,1496,1541,1584,1516,1561,1427,1429,1403,1341,3929,31939
Nevada County,969,1060,1192,1172,1123,1117,1180,1137,1179,1229,1319,1313,1239,1248,1145,1094,1099,936,1953,22704
Orange County,46731,46610,46582,43487,40152,37955,36467,35783,34013,33958,35018,34871,33767,33435,32138,32150,33011,31902,100563,768593
Placer County,2937,3097,3267,3234,3115,3027,3063,2963,2914,3007,3098,3100,2956,2911,2759,2673,2609,2275,5610,58615
Plumas County,235,262,300,298,299,299,312,291,290,293,337,347,340,333,313,298,285,237,472,5841
Riverside County,25395,26517,27110,26034,24676,23878,22690,22116,21269,21512,21926,21680,20520,20317,19164,18379,18023,16449,47243,444898
Sacramento County,19318,20046,20945,20591,19787,18835,18093,17763,17186,17137,17592,17426,16553,16329,15436,14709,14616,13130,39140,354632
San Benito County,780,812,855,774,785,733,720,685,682,662,761,731,720,681,610,597,631,554,1460,14233
San Bernardino County,32273,33554,34679,32999,31184,29781,28892,28126,27064,27136,27862,27679,26752,26131,24444,23483,23014,20879,60626,566558
San Diego County,45834,46657,47219,44802,41682,39434,37935,36861,34939,35324,36308,35738,34606,34196,32016,31401,31442,29717,115643,791754
San Francisco County,8323,8248,8004,7608,6977,6735,6286,6122,5907,6042,6490,6600,6417,6388,6017,6026,6252,6148,21004,141594
San Joaquin County,9475,9912,10421,10079,9469,9209,8910,8775,8554,8638,8791,8596,8418,8328,7960,7640,7600,7091,19799,177665
