county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,529416,517358,501169,507718,505400,496480,483659,500300,471354,471647,506894,514693,534132,543222,541996,552160,570126,573897,1666647,10988268
Alameda County,19782,20122,19366,19396,19769,19104,18343,18750,16930,16673,18181,18228,18376,18833,18597,19055,19831,19472,62281,401089
Alpine County,7,13,12,10,13,13,17,16,16,16,14,13,14,14,18,17,9,15,32,279
Amador County,290,277,287,332,300,338,325,308,375,353,370,375,393,380,439,432,494,606,1312,7986
Butte County,2508,2479,2481,2536,2407,2296,2461,2587,2438,2412,2488,2542,2801,2815,2672,2812,3010,3021,14949,61715
Calaveras County,445,382,421,365,380,457,438,492,483,534,546,546,613,647,576,676,738,714,1353,10806
Colusa County,385,368,373,338,341,350,322,323,334,325,394,308,309,373,341,381,388,349,887,7189
Contra Costa County,13048,13451,13285,13788,13701,13902,13917,14379,13726,13629,14436,14452,15165,14992,15202,15305,15848,16173,38265,296664
Del Norte County,367,365,341,305,287,265,345,287,293,304,383,319,317,386,378,374,404,422,1028,7170
El Dorado County,1807,1927,1999,2067,2155,2057,2140,2266,2290,2296,2423,2382,2636,2712,2671,2604,2900,2883,6470,48685
Fresno County,16658,15798,15515,15465,15172,14766,14314,14593,13899,13799,14884,14901,15161,15612,15751,16068,16337,16333,46614,321640
Glenn County,470,443,487,431,445,418,413,420,403,426,480,400,455,500,423,480,450,445,1191,9180
Humboldt County,1612,1572,1411,1563,1380,1403,1438,1482,1345,1452,1491,1436,1493,1501,1446,1548,1675,1759,7474,34481
Imperial County,2799,2743,2638,2702,2732,2808,2433,2477,2310,2397,2714,2699,2808,2987,3059,3073,2982,3203,8413,57977
Inyo County,230,194,202,217,170,183,183,184,202,175,195,248,240,245,255,274,252,261,572,4482
Kern County,15390,14435,14172,14102,14404,13661,12901,13288,12667,12806,13379,13297,13887,14342,14003,14698,14885,14770,39476,290563
Kings County,2792,2573,2493,2582,2276,2267,2178,2274,2202,2098,2193,2335,2268,2285,2220,2313,2290,2302,7004,48945
Lake County,773,751,697,681,691,704,709,707,704,709,839,736,806,876,869,879,936,986,2219,16272
Lassen County,350,295,316,319,281,344,295,322,340,348,416,379,344,427,412,419,425,447,1455,7934
Los Angeles County,139245,133731,128578,130676,128757,126735,125374,131256,123286,122569,134125,137257,143354,145899,144894,149005,153849,154566,444072,2897228
Madera County,2621,2446,2288,2419,2441,2405,2241,2189,2120,2192,2357,2339,2284,2430,2310,2394,2569,2525,6721,49291
Marin County,2804,2802,2849,2802,2901,2968,2944,3050,2795,2669,2863,2715,2765,2837,2898,2880,2939,2969,6118,57568
Mariposa County,147,164,168,156,140,179,152,182,163,141,237,212,215,221,229,245,250,253,582,4036
Mendocino County,1136,1061,1043,1066,1022,1023,1001,1016,1013,1046,1075,1032,1134,1147,1025,1185,1318,1307,3178,22828
Merced County,4518,4530,4394,4496,4418,4387,4233,4231,4101,4168,4432,4214,4616,4680,4801,4581,4911,4864,14015,94590
Modoc County,105,100,88,94,105,106,99,97,138,119,112,99,170,124,152,150,141,100,306,2405
Mono County,182,193,187,204,142,122,199,118,155,146,140,175,154,157,192,139,179,159,512,3455
Monterey County,6782,6817,6503,6393,6258,6167,5821,5658,5266,5133,5655,5700,6047,5948,6040,6239,6428,6453,19900,129208
Napa County,1602,1674,1579,1554,1697,1656,1601,1679,1571,1607,1765,1728,1880,1922,1857,1859,1961,1941,5435,36568
Nevada County,890,946,799,862,846,946,937,1004,1099,1088,1116,1177,1229,1277,1339,1316,1352,1510,3104,22837
Orange County,40150,39195,38645,39407,39076,38462,38271,40967,37758,37425,40890,41799,43066,43948,43786,44815,45558,45731,128013,866962
Placer County,4040,4148,4033,4334,4367,4275,4492,4758,4716,4588,4717,4922,5155,5033,4880,5236,5146,5098,12071,96009
Plumas County,205,170,167,228,168,215,162,198,215,198,198,185,209,261,251,239,294,272,851,4686
Riverside County,33711,32181,31643,32603,33368,33593,31546,32050,31437,32182,34087,34387,36321,36919,36502,36461,37385,37508,100489,714373
Sacramento County,20745,20800,19950,20027,19750,19118,19156,19238,18726,18603,19509,19779,20909,21059,20758,21212,21833,21594,59119,421885
San Benito County,776,847,863,828,867,859,823,847,858,878,927,898,983,938,1051,935,1031,991,2369,18569
San Bernardino County,33399,32282,31616,31425,32512,31793,29950,30809,30683,31252,32951,33603,34997,35637,36260,36553,37768,37597,101155,702242
San Diego County,42895,41878,39913,39835,39073,38279,37042,37895,35217,35725,38652,39199,41030,41196,41987,41899,43109,44084,147231,866139
San Francisco County,8029,7392,6791,6407,6413,5921,5311,5904,4685,4632,5014,5387,5314,5585,5537,5824,6079,6051,25482,131758
San Joaquin County,11197,11011,10879,10852,11220,11014,10458,10859,10274,10418,11146,11174,11273,11449,11640,11666,12298,11962,31962,232752
San Luis Obispo County,2749,2775,2585,2747,2604,2546,2481,2687,2637,2587,2700,2918,2971,3062,3039,3058,3428,3540,19438,70552
San Mateo County,9463,9438,9088,9118,9205,8985,8494,8870,8113,7616,8137,8222,8393,8584,8478,8744,8905,9131,22175,179159
Santa Barbara County,5623,5570,5501,5474,5269,4922,4798,5095,4490,4949,5122,5297,5471,5389,5621,5840,6133,6203,30967,127734
Santa Clara County,25041,25783,24782,25219,25141,24694,24114,24396,21149,20752,22062,22217,22506,22560,22289,22647,23690,23351,65336,487729
