county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,522195,510152,517737,487499,480158,483137,493764,513315,525733,532559,552201,562854,567414,564852,534552,525626,515694,515152,1504915,10909509
Alameda County,21091,20793,20801,18529,17969,18175,18248,18598,19144,19195,19856,20274,19984,20063,19327,19032,18419,18228,54237,401963
Alpine County,9,15,12,11,15,12,9,18,16,14,18,16,16,15,19,13,16,18,52,314
Amador County,303,260,264,348,301,326,351,353,373,386,419,409,438,497,462,455,512,693,1391,8541
Butte County,2280,2296,2307,2325,2323,2282,2429,2637,2710,2632,2714,2925,3004,3088,2991,2994,3050,2944,15157,63088
Calaveras County,356,367,402,391,420,448,461,479,558,515,576,615,673,699,648,678,684,742,1290,11002
Colusa County,327,319,357,303,293,350,281,294,337,318,356,350,311,354,328,390,357,379,908,6912
Contra Costa County,13037,13128,13570,13383,13354,13494,13688,14303,14166,14639,14930,15325,15746,15979,15113,14739,14506,14550,35543,293193
Del Norte County,299,321,255,281,292,310,339,311,334,387,376,399,398,405,418,390,424,440,1162,7541
El Dorado County,1762,1794,1805,2016,2006,1975,2130,2270,2367,2447,2453,2711,2808,2911,2699,2869,2741,2599,5874,48237
Fresno County,14850,14128,14485,13821,13552,13635,13822,14065,14521,15002,15657,15820,15930,15723,15035,14798,14740,14748,40991,305323
Glenn County,417,444,429,403,412,428,382,408,446,414,462,446,462,520,513,484,495,457,1190,9212
Humboldt County,1456,1422,1397,1325,1428,1456,1429,1476,1518,1513,1528,1666,1657,1736,1714,1760,1766,1941,7864,36052
Imperial County,2616,2466,2450,2100,2090,2113,2117,2230,2338,2600,2749,2735,2965,2988,2796,2812,2574,2752,7265,52756
Inyo County,189,179,166,187,171,181,216,232,223,219,269,261,283,302,266,300,249,269,628,4790
Kern County,12455,11978,12190,11638,11584,11495,11432,12054,12386,12510,13058,13370,13301,13309,12515,12620,12277,12541,33151,255864
