county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,598068,560464,520065,499668,488857,478493,468508,449849,438927,463622,450918,438946,413950,402220,403157,389471,396872,383550,1330148,9575753
Alameda County,23601,22917,21587,20412,19762,19583,19029,18081,17426,18240,17841,17386,16432,15700,15679,15137,15573,15213,55180,384779
Alpine County,16,20,10,14,20,18,16,26,19,21,22,19,14,9,3,5,14,14,46,326
Amador County,370,327,337,309,338,359,349,360,340,395,411,363,329,326,339,321,306,357,1355,7591
Butte County,2861,2840,2673,2634,2798,2729,2759,2663,2610,2708,2725,2555,2449,2326,2305,2157,2123,2100,10276,56291
Calaveras County,474,461,472,450,490,499,489,487,493,526,514,522,490,481,489,455,454,381,738,9365
Colusa County,298,319,294,268,307,296,293,286,299,319,322,303,307,264,280,240,288,250,647,5880
Contra Costa County,14483,14044,13262,12771,12711,12413,12266,11892,11527,12292,12217,11862,11191,10753,10631,10203,10403,9892,28672,243485
Del Norte County,421,410,388,423,397,441,444,447,417,446,444,440,403,370,355,325,346,309,882,8108
El Dorado County,2198,2110,2060,2031,2027,2139,2178,2043,2108,2208,2185,2135,1921,1882,1816,1762,1685,1554,3798,39840
Fresno County,15530,14600,13752,13369,13233,13119,13030,12591,12564,13125,12528,12178,11416,11028,11021,10459,10221,9712,30530,254006
Glenn County,465,471,453,468,441,465,453,426,460,470,441,479,435,389,412,407,380,366,872,8753
Humboldt County,1876,1868,1822,1796,1868,1886,1879,1809,1854,2037,1825,1835,1727,1662,1617,1513,1520,1354,5715,37463
Imperial County,2612,2420,2216,2139,2163,2284,2239,2177,2241,2415,2424,2376,2260,2283,2317,2202,2215,2018,5133,46134
Inyo County,256,259,271,255,235,275,284,276,244,289,254,278,273,225,262,226,214,213,428,5017
Kern County,12910,12228,11616,11233,11165,11158,10833,10606,10191,10794,10269,9995,9301,8884,9006,8548,8164,7695,22820,207416
Kings County,2294,2138,2011,2011,1945,1889,1918,1867,1731,1888,1816,1735,1696,1572,1550,1503,1442,1335,4581,36922
Lake County,801,787,755,728,747,772,744,740,745,831,800,762,760,699,684,621,617,538,1247,14378
Lassen County,413,434,388,369,347,414,407,422,412,457,418,416,389,380,406,363,370,338,1132,8275
Los Angeles County,185654,171838,157897,150264,144917,139357,134858,128935,125569,132247,129327,126121,119839,118179,119921,117069,120338,118272,412769,2853371
Madera County,1830,1806,1680,1604,1631,1659,1693,1597,1650,1755,1797,1716,1667,1688,1631,1535,1519,1371,3886,33715
Marin County,3374,3154,2995,2773,2768,2669,2597,2501,2459,2593,2566,2495,2320,2227,2286,2252,2375,2280,6128,52812
Mariposa County,213,200,188,209,184,195,210,221,211,206,210,217,209,191,174,151,190,157,436,3972
Mendocino County,1294,1285,1278,1227,1286,1320,1330,1267,1305,1384,1304,1342,1324,1241,1242,1129,1120,1093,2631,25402
Merced County,4426,4253,3990,3835,3877,3939,3895,3679,3659,3872,3624,3482,3256,3200,3208,3053,2966,2767,8089,73070
Modoc County,144,132,130,129,144,161,160,150,152,162,178,175,157,154,145,165,137,137,262,2974
Mono County,193,182,166,156,156,157,144,143,147,156,132,130,126,94,109,101,105,109,323,2829
Monterey County,7858,7308,6798,6445,6217,6174,6047,5664,5413,5871,5607,5421,5128,5007,4865,4668,4772,4596,18243,122102
Napa County,1711,1676,1549,1584,1573,1551,1508,1510,1489,1563,1511,1509,1409,1398,1368,1346,1333,1327,4277,31192
Nevada County,1051,1065,1082,1071,1092,1118,1205,1134,1185,1304,1315,1260,1165,1128,1072,1010,1024,898,2045,22224
Orange County,48989,43871,39437,37792,36606,35334,34807,33484,32472,34043,33116,32422,30598,29976,30567,30569,32155,32001,110920,739159
Placer County,3042,2971,2734,2775,2827,2857,2942,2760,2779,3068,2916,2861,2674,2558,2537,2408,2434,2166,5897,55206
Plumas County,255,263,271,275,292,307,312,295,288,301,332,325,331,300,294,276,262,227,481,5687
Riverside County,26496,25285,23398,22738,22584,22372,21552,20664,20256,21450,20542,19810,18249,17726,17566,16585,16507,15504,48500,417784
Sacramento County,20686,20036,19092,18555,18569,18200,17819,17210,16893,17857,17249,16707,15519,14779,14770,13977,14082,12973,42990,347963
San Benito County,777,734,705,655,715,686,684,651,668,675,719,701,659,618,565,553,590,531,1516,13402
San Bernardino County,34329,32870,30841,29360,28906,28339,27924,26727,26163,27545,26586,25870,24257,23305,22917,21637,21475,19888,63421,542360
San Diego County,48874,45798,42023,40007,38797,37739,37027,35453,34214,36277,35044,33777,31910,30821,30610,29748,30278,29603,130006,778006
San Francisco County,8973,8368,7531,7092,6779,6679,6428,6132,5962,6425,6506,6524,6146,6005,5992,6095,6445,6506,23816,144404
San Joaquin County,10086,9657,9271,9104,8886,8940,8847,8571,8467,8988,8527,8117,7729,7420,7479,7080,7118,6827,20719,171833
San Luis Obispo County,3264,3065,2919,2822,2955,2908,2930,2835,2784,3017,2839,2825,2650,2450,2418,2303,2402,2464,13179,63029
