county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,583437,588226,557876,519150,504102,484792,472920,464549,432723,461389,465931,446257,440228,417570,405207,408109,392880,394301,1260375,9700022
Alameda County,22802,23162,22773,21091,20270,19741,19019,18554,17108,17951,18310,17341,17263,16224,15446,15709,15147,15427,52152,385490
Alpine County,13,15,13,14,20,19,13,24,21,18,20,19,13,9,3,6,14,15,45,314
Amador County,357,352,371,326,346,367,351,377,340,390,435,371,364,346,347,350,311,363,1167,7631
Butte County,2743,2978,2849,2728,2827,2739,2721,2711,2557,2666,2822,2580,2594,2438,2320,2308,2112,2179,9636,56508
Calaveras County,449,486,502,474,492,508,487,506,490,524,543,531,529,511,506,491,454,404,729,9616
Colusa County,293,337,321,279,307,296,288,296,284,306,324,305,325,271,281,256,283,259,638,5949
Contra Costa County,14030,14698,14238,13361,13115,12650,12375,12291,11431,12220,12726,11973,11881,11255,10676,10756,10220,10171,27375,247442
Del Norte County,392,418,406,431,399,432,432,443,408,431,448,441,418,384,358,355,343,316,841,8096
El Dorado County,2088,2237,2208,2106,2040,2155,2159,2096,2077,2178,2289,2147,2070,1986,1842,1888,1682,1629,3645,40522
Fresno County,15417,15523,14893,13945,13746,13284,13207,13029,12369,13122,12949,12502,12234,11517,11212,11065,10311,10178,29771,260274
Glenn County,449,493,485,474,448,459,449,435,449,458,449,480,460,406,408,426,374,377,833,8812
Humboldt County,1779,1902,1927,1849,1858,1868,1837,1835,1789,1946,1864,1817,1806,1711,1628,1609,1483,1406,5508,37422
Imperial County,2716,2677,2504,2295,2321,2367,2352,2321,2253,2499,2551,2525,2490,2397,2428,2362,2295,2155,5144,48652
Inyo County,236,247,280,261,237,272,272,277,239,279,266,274,284,231,261,235,212,226,401,4990
Kern County,12760,13003,12588,11758,11549,11376,10990,11025,10103,10765,10678,10220,10007,9327,9191,9097,8248,8124,22452,213261
Kings County,2267,2287,2182,2096,2011,1911,1940,1932,1702,1884,1871,1767,1794,1630,1577,1586,1449,1399,4439,37724
Lake County,771,816,801,761,768,781,747,767,740,825,835,774,811,743,698,669,614,576,1204,14701
Lassen County,392,448,422,384,349,416,401,430,405,447,434,414,422,395,402,387,359,345,1081,8333
Los Angeles County,181799,178951,168919,155457,150173,141256,136646,133306,123674,132099,132809,128295,127070,121658,120060,121658,119224,120875,390239,2884168
Madera County,1864,1979,1874,1723,1731,1721,1741,1686,1658,1782,1867,1774,1789,1763,1674,1639,1556,1462,3862,35145
