county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,528892,542579,557948,579400,596336,560287,512598,489060,462389,469786,476225,460123,469936,469821,456831,454383,431236,402748,1219153,10139731
Alameda County,20661,21131,21922,22462,22820,22331,20479,19382,18169,18060,18317,17565,17971,17781,17019,17144,16326,15199,49510,394249
Alpine County,12,23,8,15,20,23,11,23,22,18,22,19,20,12,5,7,21,18,45,344
Amador County,324,329,364,360,410,416,371,384,359,387,439,387,408,406,410,407,412,489,1250,8312
Butte County,2520,2706,2780,2969,3306,3080,2810,2718,2685,2694,2850,2713,2799,2856,2696,2743,2514,2360,10027,59826
Calaveras County,399,426,464,503,566,579,497,516,520,546,554,547,582,607,611,578,534,450,806,10285
Colusa County,291,323,356,321,358,347,305,312,290,289,328,310,338,307,317,304,322,284,681,6383
Contra Costa County,13139,13810,14352,14922,15773,14813,13724,13019,12487,12709,13181,12574,12800,12906,12373,12277,11545,10513,26673,263590
Del Norte County,350,378,390,422,429,458,433,431,424,412,425,443,429,440,416,421,410,339,834,8284
El Dorado County,1910,2030,2206,2315,2432,2450,2308,2137,2226,2241,2377,2277,2349,2373,2199,2270,2024,1774,3894,43792
Fresno County,14435,14864,15434,16057,16465,15516,14440,13888,13182,13408,13405,13058,13354,13358,13086,12856,11937,11165,31234,281142
Glenn County,420,453,497,510,524,521,454,450,442,449,451,477,482,463,467,485,434,388,847,9214
Humboldt County,1614,1751,1830,1901,2017,2014,1869,1775,1792,1824,1810,1795,1844,1887,1855,1854,1697,1489,5551,38169
Imperial County,2473,2508,2606,2662,2781,2668,2503,2427,2315,2495,2574,2533,2630,2615,2693,2600,2518,2378,5718,51697
Inyo County,217,219,247,261,266,288,265,274,254,275,272,262,296,261,288,271,255,232,406,5109
Kern County,11921,12332,12763,13171,13789,13191,11928,11621,10887,10968,10991,10639,10924,10798,10692,10440,9686,8901,23435,229077
Kings County,2175,2238,2280,2426,2449,2234,2138,2072,1852,1941,1927,1846,1916,1884,1835,1836,1691,1543,4581,40864
Lake County,695,716,753,809,880,880,797,776,793,832,844,820,864,844,816,792,718,630,1261,15520
Lassen County,355,394,419,404,418,455,417,422,404,444,448,412,445,433,436,425,409,349,1045,8534
Los Angeles County,160761,162851,167416,172870,175560,163694,147871,141628,132393,134440,134854,130037,133252,133326,131249,130072,124623,118848,366518,2962263
Madera County,1816,1968,2045,2104,2179,2099,1918,1847,1844,1852,1906,1856,1922,1980,1920,1888,1836,1648,4190,38818
Marin County,2933,3041,3152,3200,3351,3065,2777,2681,2591,2615,2724,2637,2654,2661,2574,2632,2489,2252,5160,55189
Mariposa County,177,180,199,225,211,215,221,218,213,232,228,234,239,229,224,210,220,187,455,4317
Mendocino County,1085,1201,1249,1285,1411,1408,1267,1183,1246,1307,1269,1276,1401,1398,1337,1339,1237,1134,2555,25588
Merced County,3893,4103,4274,4351,4713,4410,4095,3858,3677,3816,3782,3628,3749,3774,3701,3686,3381,3086,7858,77835
Modoc County,121,119,125,141,168,182,150,143,134,145,176,160,150,169,152,190,153,138,225,2941
Mono County,175,172,178,192,185,184,165,163,155,171,156,154,152,146,156,142,132,132,367,3277
Monterey County,6518,6612,6810,7025,7196,6664,6132,5771,5325,5537,5512,5371,5484,5523,5247,5199,5001,4611,14147,119685
Napa County,1534,1647,1708,1821,1897,1776,1620,1549,1506,1525,1551,1565,1595,1663,1540,1592,1495,1422,3973,32979
Nevada County,915,988,1062,1164,1263,1234,1215,1137,1185,1232,1317,1300,1308,1340,1265,1264,1202,1043,2087,23521
Orange County,44843,45032,45501,47237,48214,44283,40292,38403,35962,36147,36719,35488,36160,36030,35359,35757,34514,32942,99149,808032
Placer County,2941,3059,3220,3484,3803,3572,3387,3215,3104,3187,3322,3213,3287,3264,3160,3180,2903,2569,5984,63854
Plumas County,209,239,256,271,310,306,308,268,282,285,320,325,331,337,326,327,302,246,491,5739
Riverside County,24215,25470,26264,27467,28674,27396,24901,23540,22435,22998,23048,22310,22287,22265,21633,21217,19692,17948,49723,473483
Sacramento County,18287,19049,19691,20718,21911,20928,19334,18433,17598,17603,17799,17188,17325,17305,16703,16511,15503,13891,39245,365022
San Benito County,796,826,872,873,967,867,812,741,730,706,804,733,782,743,702,690,686,608,1529,15467
San Bernardino County,29947,31301,32637,33732,35027,33245,30905,29264,27935,28321,28556,27631,28284,27733,26716,26338,24480,22321,61642,586015
San Diego County,42891,43852,44440,45965,47266,44134,40557,38162,35758,36528,37012,35524,36247,36212,34590,34720,32876,30663,113755,811152
San Francisco County,7820,7624,7421,7668,7484,7199,6563,6236,5911,6009,6395,6318,6461,6490,6305,6456,6292,5998,20444,141094
San Joaquin County,8990,9434,9952,10445,10781,10255,9523,9080,8746,8874,8989,8618,8889,8988,8811,8721,8237,7591,20475,185399
San Luis Obispo County,2732,2855,2988,3180,3486,3251,3047,2833,2860,2933,2985,2977,2987,2978,2892,2835,2820,2794,12796,66229
San Mateo County,10297,10276,10355,10586,10689,9927,8990,8698,8151,8254,8471,8335,8336,8438,8077,8035,7847,7334,19661,180757
Santa Barbara County,5773,6006,6095,6398,6577,6080,5674,5447,5102,5289,5270,5082,5060,5107,4992,4893,4785,4642,21858,120130
Santa Clara County,25614,26072,26313,27170,27426,25182,22970,21855,20517,20600,21304,20643,20965,21126,20374,20414,19602,18482,56879,463508
Santa Cruz County,3445,3539,3665,3796,3947,3713,3347,3247,3125,3137,3284,3140,3255,3308,3202,3256,3038,2891,11458,71793
Shasta County,2130,2325,2372,2638,2794,2727,2561,2427,2314,2470,2611,2537,2639,2621,2613,2614,2434,2173,5150,50150
Sierra County,26,29,52,47,57,57,53,57,44,48,56,57,46,48,58,51,53,44,65,948
Siskiyou County,507,562,574,669,691,678,650,624,641,637,731,674,796,723,742,733,699,606,1305,13242
Solano County,6000,6277,6605,6957,7212,6981,6502,6291,5824,5947,6156,5884,6007,5987,5682,5709,5315,4730,12765,122831
Sonoma County,5754,6094,6339,6818,7078,6726,6238,5997,5881,5960,6099,5908,6004,6114,5827,5806,5499,5011,14279,123432
Stanislaus County,7262,7660,7953,8523,8843,8229,7676,7199,6948,7270,7346,7173,7247,7331,6995,6871,6397,5779,14928,147630
Sutter County,1185,1273,1340,1413,1443,1411,1290,1221,1172,1237,1243,1199,1257,1255,1208,1234,1149,1022,2556,25108
Tehama County,736,854,846,915,957,946,920,845,807,858,921,883,940,954,883,895,817,774,1607,17358
Trinity County,132,155,145,191,210,187,193,205,187,206,216,216,213,209,216,227,214,180,301,3803
Tulare County,6916,6963,7358,7750,7986,7538,6891,6715,6404,6553,6639,6492,6634,6653,6493,6399,6076,5606,14261,136327
Tuolumne County,513,587,610,644,715,664,684,630,626,646,708,713,720,735,704,711,654,595,1441,13300
Ventura County,11630,12049,12496,13092,13882,12729,11643,11294,10784,11037,11271,10816,11155,11174,10894,10824,10276,9662,26005,232713
Yolo County,2273,2381,2430,2544,2692,2567,2299,2215,2098,2131,2187,2106,2196,2175,2063,2058,1924,1828,11671,51838
