county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,520189,512194,505517,505313,496208,503927,471031,467974,474001,491441,533613,542116,547726,551045,560180,568525,573363,546521,1576942,10947826
Alameda County,19532,19724,19971,19416,18969,19029,16956,16543,17048,17502,18565,18858,18845,18921,19512,19283,19763,19050,57392,394879
Alpine County,7,13,15,17,17,10,13,17,21,15,17,17,15,15,18,17,13,19,42,318
Amador County,283,285,272,312,291,295,370,332,341,395,397,404,405,433,464,458,561,699,1347,8344
Butte County,2506,2364,2322,2350,2317,2396,2403,2385,2421,2476,2793,2779,2742,2773,2936,3041,3170,3013,14938,62125
Calaveras County,432,355,371,422,410,494,449,507,525,524,556,628,596,638,668,752,740,659,1407,11133
Colusa County,372,354,374,332,333,355,317,294,358,317,333,382,334,345,363,347,383,368,903,7164
Contra Costa County,12912,13049,13085,13587,13452,14023,13475,13489,13446,13757,14868,14581,15140,15110,15485,16029,16144,15346,36306,293284
Del Norte County,358,290,272,294,338,284,312,280,332,351,332,337,386,412,411,406,399,447,1012,7253
El Dorado County,1950,1931,1991,2099,2062,2110,2191,2272,2201,2291,2580,2524,2735,2617,2857,2958,3037,2752,6224,49382
Fresno County,15691,15098,15054,14736,14322,14422,13665,13468,13679,13974,15022,15406,15714,16008,15941,16135,16173,15422,43708,313638
Glenn County,440,483,446,408,440,431,390,409,456,385,463,448,429,482,469,475,492,471,1132,9149
Humboldt County,1589,1488,1397,1438,1440,1417,1330,1457,1527,1439,1493,1509,1534,1544,1610,1702,1790,1825,7607,35136
Imperial County,2605,2783,2717,2649,2456,2429,2100,2188,2238,2337,2681,2690,2988,3070,2958,3103,3057,2989,7869,55907
Inyo County,221,193,178,183,180,184,193,178,177,201,247,248,247,283,270,291,296,223,584,4577
Kern County,14384,13574,13714,13420,12998,12958,12212,12247,12228,12524,13402,13908,13845,14275,14308,14418,14161,13687,37005,279268
Kings County,2559,2554,2396,2306,2231,2250,2119,2117,2076,2152,2191,2238,2247,2352,2299,2347,2253,2113,7013,47813
Lake County,726,691,667,666,704,726,700,702,751,740,858,839,884,874,973,996,981,998,2209,16685
