county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,527233,507542,504843,504736,501389,488049,496704,471369,465455,476719,516348,529581,544246,544813,546425,563374,573223,573571,1608844,10944464
Alameda County,19838,19444,19488,19657,19345,18535,18661,16867,16432,16991,18325,18267,18835,18568,18917,19483,19568,19553,59567,396341
Alpine County,7,13,16,14,18,14,14,16,13,16,16,16,14,15,18,19,12,19,35,305
Amador County,296,281,300,317,316,326,299,371,346,372,404,398,393,415,452,449,499,716,1330,8280
Butte County,2494,2495,2389,2396,2304,2317,2515,2497,2393,2400,2556,2804,2790,2738,2726,2979,3073,3082,14886,61834
Calaveras County,438,394,390,376,427,446,461,478,513,528,566,576,659,591,604,727,762,711,1342,10989
Colusa County,374,379,353,330,347,339,336,297,316,375,331,319,366,332,362,397,361,390,886,7190
Contra Costa County,13162,12955,13250,13448,13603,13637,14137,13526,13525,13556,14535,14730,14790,15251,14995,15713,16136,16196,36979,294124
Del Norte County,388,345,276,295,252,320,312,302,267,374,369,305,346,386,375,422,404,416,1072,7226
El Dorado County,1877,2029,1919,2136,2043,2055,2146,2303,2267,2253,2459,2481,2648,2741,2534,2912,2895,2989,6235,48922
Fresno County,16317,15203,15390,15044,14763,14245,14438,13793,13542,13876,14878,15077,15528,15818,15931,16101,16325,16168,44780,317217
Glenn County,432,455,498,413,435,425,416,402,428,452,435,414,471,441,478,463,468,480,1163,9169
Humboldt County,1613,1494,1461,1448,1364,1445,1446,1313,1487,1473,1450,1478,1514,1500,1497,1692,1689,1833,7448,34645
Imperial County,2628,2723,2671,2769,2682,2561,2336,2210,2246,2387,2673,2679,2876,3161,3071,3003,3092,3202,8030,57000
Inyo County,228,213,189,193,175,190,187,196,180,172,239,253,240,258,281,262,284,266,575,4581
Kern County,14990,14083,13822,14193,13658,13100,12910,12529,12338,12733,13035,13725,14075,14241,14089,14886,14467,14465,37928,285267
Kings County,2696,2479,2568,2460,2216,2230,2228,2155,2128,2105,2237,2276,2225,2284,2308,2331,2351,2274,6886,48437
Lake County,754,701,722,640,717,711,697,678,735,725,810,794,841,894,835,974,976,999,2227,16430
Lassen County,296,313,302,289,356,293,300,338,347,407,373,345,406,412,424,426,469,465,1406,7967
Los Angeles County,138666,132205,131535,130884,129509,127560,132265,125004,122660,126506,139197,143289,148135,145981,149372,152546,155471,154535,428745,2914065
Madera County,2575,2338,2321,2349,2462,2301,2196,2034,2146,2201,2366,2322,2311,2353,2318,2498,2536,2528,6418,48573
Marin County,2808,2785,2868,2781,2811,2894,2909,2862,2618,2709,2745,2783,2768,2873,2860,2965,2996,2933,6149,57117
Mariposa County,162,151,160,129,170,159,158,169,152,186,230,214,210,234,229,246,279,265,599,4102
Mendocino County,1093,1025,1038,1008,1065,961,1062,938,1064,1030,1055,1164,1139,1055,1050,1316,1408,1287,3247,23005
Merced County,4621,4405,4376,4562,4462,4275,4229,4020,4010,4246,4352,4610,4696,4719,4830,4678,4917,4965,13370,94343
Modoc County,107,97,102,94,116,89,96,130,112,131,94,133,149,129,138,134,125,155,294,2425
Mono County,197,204,186,156,117,184,126,140,123,183,150,168,157,179,166,144,180,210,507,3477
Monterey County,6780,6572,6482,6365,6127,5943,5760,5021,5169,5099,5759,5900,6097,5966,6147,6187,6484,6363,19842,128063
Napa County,1638,1639,1517,1571,1621,1583,1637,1572,1579,1664,1723,1797,1904,1939,1800,1919,1926,1950,5323,36302
Nevada County,869,878,860,788,1000,861,981,1042,1115,1056,1153,1210,1274,1301,1295,1379,1452,1537,3079,23130
Orange County,40220,38902,39337,39039,38637,38503,40180,38341,37126,38125,41975,42523,43939,44006,43934,45218,45396,45134,121691,862226
Placer County,4067,3903,4158,4023,4228,4245,4509,4621,4443,4482,4779,5061,4904,4934,4884,5136,4974,5104,11630,94085
Plumas County,210,176,189,207,193,169,184,252,197,223,217,200,256,251,246,284,294,281,851,4880
Riverside County,32887,31930,31763,32968,33888,32292,31693,30706,31087,31928,34100,35634,36695,36564,35742,36565,37341,36726,94951,705460
Sacramento County,20716,20157,19937,19494,19300,19111,19162,18723,18433,18679,19876,20536,21261,21082,20945,21616,21678,21750,56702,419158
San Benito County,861,882,863,810,893,816,840,846,864,892,896,924,951,1030,975,1003,984,1036,2256,18622
San Bernardino County,33188,31726,31661,32068,32625,30727,30653,30355,30763,31368,34090,34723,35983,36489,36024,37745,37694,37965,97635,703482
San Diego County,42780,40889,39561,38970,38376,37073,37428,35117,34863,35851,39181,40387,41164,41833,41326,42441,43762,43760,142183,856945
San Francisco County,8006,7142,6818,6514,6110,5642,5889,4971,4497,4561,5395,5249,5550,5654,5535,6076,5899,6327,24153,129988
San Joaquin County,11439,10977,10792,11022,11145,10914,10784,10125,10320,10512,11285,11254,11461,11573,11612,12043,12254,12077,31106,232695
San Luis Obispo County,2759,2561,2647,2540,2500,2400,2544,2595,2566,2649,2768,2999,3062,3068,2925,3375,3485,3654,19186,70283
San Mateo County,9437,9286,9042,8902,9191,8520,8716,8038,7710,7459,8155,8243,8476,8543,8624,8867,8965,9086,21638,176898
Santa Barbara County,5677,5514,5543,5209,4869,4899,4875,4594,4558,4814,5224,5530,5438,5490,5797,5766,6187,6208,30430,126622
Santa Clara County,25072,24781,24822,25042,25024,23969,24625,21449,20314,20668,21845,22248,22437,22352,22089,22951,23231,23448,63343,479710
Santa Cruz County,3127,3029,2960,3006,2776,2773,2995,2626,2690,2819,2894,3101,3160,3108,3189,3427,3519,3742,17587,72528
Shasta County,2146,1949,2058,2019,1965,1993,2084,2141,2233,2220,2457,2362,2407,2553,2575,2590,2753,2949,7241,48695
Sierra County,36,43,30,25,34,19,20,25,27,36,36,36,49,41,45,51,31,45,85,714
Siskiyou County,534,443,459,431,416,412,483,488,479,473,564,567,557,577,567,587,648,696,1584,10965
Solano County,5492,5490,5350,5522,5520,5633,5375,5288,5243,5554,5760,5927,6262,6134,6248,6432,6635,6946,17262,122073
Sonoma County,5504,5421,5512,5840,5511,5478,5583,5363,5518,5467,5882,5866,6092,6315,6392,6637,6934,7077,19510,125902
Stanislaus County,8464,7991,8175,8128,8292,8017,7802,7722,7568,7559,8242,8559,8769,8802,8625,8729,9563,9182,23223,173412
Sutter County,1476,1437,1454,1513,1475,1366,1367,1286,1335,1349,1420,1439,1499,1494,1505,1534,1593,1612,3923,30077
Tehama County,853,876,835,955,762,768,878,808,830,816,895,908,955,1004,1018,1006,995,1088,2413,18663
Trinity County,128,120,116,112,135,120,115,106,141,122,161,193,174,176,183,176,222,209,386,3095
Tulare County,8200,7905,8037,7875,7797,7492,7582,7034,6784,6996,7703,7726,7883,7893,7958,7857,8115,8189,20138,159164
