county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,499234,499916,498526,510100,498524,497389,516622,517862,511598,508167,504626,500601,494558,508303,516300,510334,516626,526694,1606961,10742941
Alameda County,19587,19785,19407,19648,19712,19631,20313,19942,19441,19300,19192,18891,18332,18631,18493,17753,18147,18604,58902,403711
Alpine County,6,11,8,7,3,15,14,19,13,11,13,19,14,12,14,14,15,13,33,254
Amador County,286,254,295,279,297,268,288,305,303,345,326,307,326,330,367,343,352,355,967,6593
Butte County,2503,2367,2457,2483,2484,2419,2486,2571,2545,2515,2572,2519,2481,2604,2595,2537,2527,2640,12891,58196
Calaveras County,365,334,369,340,354,381,429,436,428,414,422,442,454,478,540,534,581,583,1311,9195
Colusa County,303,335,305,328,301,335,369,365,361,338,317,333,309,320,342,320,350,313,895,6839
Contra Costa County,12293,12697,13009,13667,13792,13818,14520,15030,14895,14991,15243,15123,15179,15415,15426,15207,15196,15454,39656,300611
Del Norte County,314,314,327,326,307,302,321,390,343,308,307,300,313,331,332,285,336,370,871,6697
El Dorado County,1615,1603,1728,1775,1744,1882,2043,2149,2252,2270,2280,2324,2279,2337,2485,2495,2491,2548,6095,44395
Fresno County,15767,15640,15886,16378,15822,15456,16335,16111,15703,15465,15271,14952,14617,14790,15089,14833,14797,14984,42208,320104
Glenn County,405,390,365,414,434,441,424,411,442,457,397,384,393,429,411,434,452,446,1100,8629
Humboldt County,1486,1567,1421,1506,1425,1419,1486,1568,1500,1479,1438,1349,1448,1463,1356,1440,1469,1480,7014,33314
Imperial County,3129,2976,3027,3093,2746,2826,2880,2706,2718,2829,2765,2831,2683,2728,2907,2860,2812,2926,8063,59505
Inyo County,236,209,227,201,217,229,198,205,213,210,201,192,203,177,217,226,211,225,591,4388
Kern County,14000,14467,14325,14718,14889,14733,15130,14988,14692,14344,14076,13732,13595,13872,13938,13757,13704,13764,38254,294978
Kings County,2284,2419,2337,2436,2342,2412,2525,2454,2363,2295,2200,2114,2143,2216,2158,2152,2235,2145,6458,47688
Lake County,767,731,714,730,726,711,726,734,718,730,688,730,710,704,748,741,743,771,1915,15037
Lassen County,325,267,268,276,283,299,273,277,289,301,291,310,269,280,328,343,352,371,1189,6591
Los Angeles County,129492,128968,126382,129067,124645,123564,127998,127193,124842,124572,123810,123038,122889,127544,130959,130047,133282,137069,422598,2717959
