county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,511446,527501,544988,564630,588123,591946,553713,509835,480567,476284,484273,480615,467755,475688,476621,465657,462323,417554,1234188,10313707
Alameda County,19968,20643,21477,21954,22529,22909,21883,20227,18940,18373,18526,18320,17902,17883,17808,17427,17437,15795,49611,399612
Alpine County,13,22,8,15,18,20,10,23,23,19,19,21,18,15,6,10,21,20,54,355
Amador County,318,317,352,346,384,434,393,393,357,389,439,398,410,409,431,415,462,549,1278,8474
Butte County,2441,2590,2675,2852,3123,3174,2953,2784,2715,2690,2831,2817,2775,2875,2840,2822,2721,2474,10196,60348
Calaveras County,385,404,443,479,527,610,522,532,530,552,558,571,585,613,652,591,582,476,844,10456
Colusa County,290,318,355,317,350,376,322,326,304,284,333,321,336,318,330,320,352,299,716,6567
Contra Costa County,12852,13540,14138,14656,15466,15567,14837,13664,12995,13007,13405,13211,12828,13082,13139,12592,12467,11055,27039,269540
Del Norte County,338,370,380,405,403,455,454,437,431,415,418,459,423,448,443,449,450,362,837,8377
El Dorado County,1862,1953,2142,2235,2300,2601,2476,2224,2264,2264,2401,2386,2384,2416,2362,2343,2217,1890,4027,44747
Fresno County,13977,14500,15092,15631,16286,16348,15551,14378,13640,13472,13593,13576,13253,13588,13628,13302,12926,11695,32351,286787
Glenn County,406,441,491,485,505,545,485,471,445,443,454,496,475,470,486,498,465,405,872,9338
Humboldt County,1548,1683,1762,1823,1869,1984,1945,1812,1774,1792,1772,1832,1800,1863,1944,1878,1816,1563,5838,38298
Imperial County,2362,2402,2516,2561,2758,2806,2686,2471,2368,2470,2592,2594,2554,2613,2709,2647,2654,2403,5766,51932
Inyo County,209,214,239,253,261,283,282,282,254,275,274,266,289,262,299,279,277,239,420,5157
Kern County,11569,11997,12433,12774,13508,13841,12822,12069,11240,11047,11139,11096,10888,10973,11223,10714,10539,9346,24095,233313
Kings County,2121,2207,2247,2379,2423,2365,2318,2164,1923,1968,1954,1922,1904,1919,1932,1896,1836,1617,4725,41820
Lake County,671,672,720,771,824,897,844,805,800,835,851,857,846,839,859,817,774,664,1288,15634
Lassen County,359,395,429,406,413,488,463,454,420,468,471,452,464,447,478,453,461,375,1159,9055
Los Angeles County,153731,157365,162751,167933,175032,172610,159850,147461,138569,136398,137464,135311,131740,134483,135033,132217,131979,121184,367177,2998288
Madera County,1793,1950,2033,2098,2190,2247,2084,1945,1932,1872,1936,1944,1903,1997,1993,1955,2005,1744,4425,40046
Marin County,2845,2928,3046,3100,3169,3239,2966,2785,2633,2642,2729,2756,2648,2661,2703,2664,2626,2312,5068,55520
Mariposa County,174,174,193,218,201,222,241,219,217,241,233,245,241,234,241,221,238,200,482,4435
Mendocino County,1050,1168,1208,1233,1348,1429,1337,1204,1250,1314,1267,1315,1374,1401,1402,1375,1336,1181,2636,25828
Merced County,3706,3914,4108,4144,4593,4596,4338,3920,3737,3779,3786,3719,3679,3782,3800,3767,3611,3181,7865,78025
Modoc County,120,115,120,139,163,187,158,149,134,146,182,159,149,170,157,192,169,142,231,2982
Mono County,169,162,169,186,177,194,174,170,160,171,160,163,149,155,163,148,148,136,367,3321
Monterey County,6343,6456,6674,6879,7204,7137,6675,6038,5580,5615,5650,5648,5480,5664,5484,5407,5419,4790,14571,122714
Napa County,1497,1593,1672,1756,1824,1902,1746,1603,1532,1536,1556,1632,1585,1683,1612,1628,1613,1480,4021,33471
Nevada County,896,948,1019,1124,1181,1303,1290,1184,1194,1235,1306,1360,1309,1355,1361,1305,1320,1119,2174,23983
Orange County,43880,44244,45041,46648,48049,48489,44374,40595,37799,36981,37724,37375,36329,36719,37038,36762,36910,33978,99666,828601
Placer County,2962,3012,3226,3474,3716,3893,3716,3444,3225,3255,3419,3431,3358,3357,3434,3333,3195,2772,6208,66430
Plumas County,202,224,243,255,282,308,323,280,275,282,315,333,316,328,338,330,328,254,510,5726
Riverside County,23421,24713,25676,26779,28182,28998,27047,24632,23306,23448,23584,23545,22386,22741,22839,21985,21388,18831,51221,484722
Sacramento County,17851,18675,19322,20284,21448,21726,20827,19358,18267,17919,18014,18032,17367,17551,17707,16958,16783,14731,40019,372839
San Benito County,814,828,883,887,985,962,921,790,780,730,848,774,793,769,757,726,763,652,1598,16260
San Bernardino County,28830,30259,31763,32799,34475,34865,33389,30566,29037,28858,29145,29039,28323,28171,28091,27161,26528,23472,63412,598183
San Diego County,41578,42622,43411,44857,46447,46671,43886,39841,37068,37083,37665,37247,36191,36729,36232,35598,35309,31873,114995,825303
San Francisco County,7578,7435,7200,7429,7344,7431,6958,6405,6150,5996,6407,6453,6343,6468,6472,6548,6615,6147,20438,141817
San Joaquin County,8724,9214,9744,10174,10623,10791,10265,9416,9066,8937,9130,9020,8872,9169,9270,9044,8935,8007,21089,189490
San Luis Obispo County,2643,2747,2893,3082,3320,3441,3262,2921,2920,2955,3014,3121,2992,3040,3088,2926,3079,2944,13317,67705
San Mateo County,10079,10085,10163,10317,10505,10618,9708,9062,8490,8369,8621,8704,8305,8561,8454,8246,8413,7620,19779,184099
Santa Barbara County,5535,5783,5890,6177,6405,6431,6106,5649,5265,5342,5353,5299,5026,5178,5210,4994,5108,4780,22025,121556
Santa Clara County,25201,25835,26094,26734,27284,27132,24988,22855,21491,20900,21780,21655,21010,21540,21319,21094,21080,19241,57211,474444
Santa Cruz County,3317,3409,3554,3657,3819,3914,3576,3355,3195,3168,3345,3272,3239,3332,3342,3365,3261,2986,11616,72722
Shasta County,2047,2223,2272,2520,2615,2799,2690,2488,2311,2469,2601,2620,2606,2605,2761,2654,2614,2280,5270,50445
Sierra County,28,28,50,43,48,60,55,56,46,46,55,63,50,50,64,53,57,46,68,966
Siskiyou County,492,533,546,637,643,664,673,637,632,621,716,687,775,708,769,732,758,640,1328,13191
Solano County,5735,6071,6401,6735,6954,7105,6868,6511,5969,5985,6184,6101,5932,5994,5951,5815,5710,4961,12897,123879
Sonoma County,5608,5911,6177,6604,6763,7084,6680,6240,5995,6033,6166,6179,6007,6190,6212,5994,5976,5292,14692,125803
Stanislaus County,7052,7430,7733,8262,8618,8727,8260,7440,7139,7326,7414,7490,7224,7443,7328,7097,6930,6082,15383,150378
Sutter County,1155,1242,1305,1378,1403,1499,1391,1266,1213,1252,1247,1252,1251,1284,1262,1273,1235,1077,2628,25613
Tehama County,718,821,822,886,902,992,988,873,813,851,919,907,927,948,925,914,885,810,1659,17560
Trinity County,126,142,133,182,190,193,197,203,178,203,208,215,209,203,227,229,228,188,299,3753
Tulare County,6727,6772,7174,7509,7881,7998,7387,6896,6546,6525,6683,6668,6495,6700,6690,6577,6527,5816,14663,138234
Tuolumne County,495,560,587,614,670,678,711,640,630,645,692,735,700,725,735,723,707,631,1492,13370
Ventura County,11267,11740,12209,12778,13566,13641,12596,11762,11129,11168,11422,11245,11055,11258,11341,11047,10987,9970,26207,236388
Yolo County,2229,2339,2379,2495,2650,2737,2495,2322,2190,2184,2237,2227,2226,2227,2171,2153,2099,1926,11943,53229
Yuba County,1139,1163,1205,1282,1307,1330,1271,1138,1081,1041,1066,1079,1057,1082,1076,994,994,851,2422,22578
