county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,499021,520305,511650,504382,509363,502260,493659,488466,501541,479541,506250,505598,520547,533771,540465,548502,559574,569606,1708814,11003315
Alameda County,18907,20179,20076,19282,19528,19599,18931,18348,18794,17183,17992,18064,18423,18368,18853,18801,19422,19643,64188,404581
Alpine County,5,11,17,16,19,10,16,22,9,16,14,15,13,13,15,13,7,22,30,283
Amador County,316,268,280,309,307,338,335,327,292,395,371,342,378,395,395,401,456,620,1257,7782
Butte County,2462,2514,2439,2593,2479,2387,2434,2520,2557,2479,2520,2467,2565,2783,2778,2744,2860,2882,14862,61325
Calaveras County,408,397,419,420,370,426,444,453,505,508,546,529,573,613,618,657,678,677,1358,10599
Colusa County,339,390,403,348,346,348,331,312,356,336,345,369,308,319,378,358,391,391,864,7232
Contra Costa County,12518,13202,13744,13778,13948,14058,14138,14194,14582,13935,14674,14313,14824,15268,15001,15528,15562,15858,39258,298383
Del Norte County,339,347,346,373,297,276,301,330,288,342,317,341,342,342,359,374,369,427,1069,7179
El Dorado County,1673,1882,1926,2111,2096,2143,2143,2272,2249,2323,2521,2289,2496,2666,2641,2774,2585,2832,6418,48040
Fresno County,15713,16022,16095,15571,15511,15187,14745,14538,14726,14179,14908,14970,14955,15286,15532,15874,16320,16194,48083,324409
Glenn County,453,462,438,437,463,422,406,410,450,408,480,431,436,465,499,417,467,432,1148,9124
Humboldt County,1533,1604,1524,1547,1466,1452,1388,1489,1538,1339,1499,1526,1450,1486,1458,1537,1575,1762,7420,34593
Imperial County,2651,2922,2660,2737,2687,2901,2713,2573,2581,2511,2858,2755,2859,2931,2951,3060,3050,3112,8635,59147
Inyo County,246,220,191,218,208,189,179,192,214,196,209,211,239,254,250,241,269,226,570,4522
Kern County,15019,14681,14527,14353,14180,14214,13396,13283,13277,13085,13443,13528,13393,14154,13944,14502,14614,15129,40884,293606
Kings County,2646,2728,2572,2578,2436,2356,2222,2247,2257,2159,2167,2242,2322,2279,2233,2247,2324,2284,7020,49319
Lake County,751,732,757,652,737,706,706,681,735,677,810,746,749,850,848,873,842,963,2262,16077
Lassen County,363,324,296,340,333,291,328,312,332,330,358,401,371,360,393,425,426,386,1438,7807
Los Angeles County,129807,135323,130628,128241,129395,127139,125061,125164,129796,123906,131571,132842,138445,141720,145694,145073,150797,153004,456650,2880256
Madera County,2409,2526,2329,2340,2486,2381,2337,2226,2290,2124,2385,2314,2281,2391,2408,2339,2454,2533,6900,49453
Marin County,2599,2811,2900,2777,2964,3098,3013,3104,3009,2859,2806,2823,2722,2858,2829,2906,2848,2889,6182,57997
Mariposa County,173,128,170,152,164,150,163,171,179,151,183,211,217,215,208,230,227,224,534,3850
Mendocino County,1063,1103,1039,1052,1103,981,1069,967,1070,974,1118,1067,1019,1120,1078,1148,1189,1186,3179,22525
Merced County,4339,4376,4499,4580,4390,4367,4384,4180,4276,4248,4296,4273,4243,4554,4741,4542,4858,4822,14511,94479
Modoc County,122,92,119,92,123,97,129,104,108,142,98,104,115,135,149,144,142,112,264,2391
Mono County,179,188,176,204,177,155,138,175,124,176,111,157,165,152,167,163,163,165,488,3423
Monterey County,6326,6777,6723,6491,6249,6370,6083,5754,5959,5264,5755,5634,5834,5877,5931,6113,6469,6369,20197,130175
Napa County,1585,1581,1648,1657,1662,1715,1680,1652,1700,1639,1732,1782,1850,1885,1831,1896,1917,1959,5480,36851
Nevada County,838,945,876,820,986,841,1023,947,1072,1070,1145,1108,1174,1219,1298,1332,1279,1423,3097,22493
Orange County,36923,39260,38942,38727,39594,39214,38590,39307,40633,38474,40876,40884,42463,43273,43710,44879,45349,46075,132950,870123
Placer County,3981,4090,4216,4126,4660,4380,4504,4761,4734,4834,4818,4824,4951,5229,4957,5183,5218,5197,12193,96856
Plumas County,201,189,154,200,177,204,207,174,162,225,199,191,213,227,249,258,242,263,826,4561
Riverside County,31082,33273,32154,32644,32819,33169,33073,31691,33030,32689,34436,34271,35091,36419,36721,37058,37196,37374,105128,719318
Sacramento County,19656,20663,20645,20105,20472,19603,19185,19271,19300,18789,19575,19372,20180,20857,20659,21137,21411,21817,60898,423595
San Benito County,731,781,863,824,866,829,851,823,849,879,925,919,947,937,962,1003,971,1019,2356,18335
San Bernardino County,31176,32290,32202,31391,31824,31590,31103,30145,31230,31117,33079,32525,33902,34904,35204,36727,36499,37396,102913,697217
San Diego County,40907,41842,40993,40014,39864,39164,38144,37669,37997,36246,38935,38601,39841,40921,41348,42576,42613,43182,150561,871418
San Francisco County,7950,7570,7106,6368,6308,6228,5636,5442,5562,4849,5161,5015,5424,5350,5525,5885,5739,6231,26033,133382
San Joaquin County,10649,10872,10951,10903,11147,11113,10623,10581,11172,10318,11076,11093,11225,11238,11457,11743,11949,11974,32711,232795
San Luis Obispo County,2624,2661,2733,2630,2814,2646,2658,2608,2752,2727,2660,2823,2908,2975,3019,3140,3143,3462,19287,70270
San Mateo County,9057,9515,9273,9132,9409,9085,8940,8631,9015,8061,8408,8171,8367,8539,8524,8649,8724,9024,22467,180991
Santa Barbara County,5426,5513,5534,5440,5546,5344,4885,5039,4981,4920,5254,5217,5224,5447,5560,5658,6192,6125,31209,128514
Santa Clara County,23518,25573,25419,25065,25245,24704,24857,23906,24018,21711,22386,22445,22428,22629,22441,22765,23300,23613,66433,492456
Santa Cruz County,2813,3179,3040,3033,2997,2944,2924,2927,3111,2766,2984,3062,3047,3171,3144,3247,3293,3545,18186,73413
Shasta County,2069,2104,2106,1942,2164,1981,2017,2171,2180,2082,2412,2170,2276,2402,2464,2484,2529,2549,7482,47584
Sierra County,35,26,31,28,29,26,22,32,22,32,27,32,35,28,48,45,33,51,66,648
Siskiyou County,508,476,552,451,490,453,481,437,476,508,547,525,541,565,548,550,605,611,1550,10874
Solano County,5142,5525,5348,5515,5297,5340,5434,5453,5443,5469,5451,5782,5840,5876,5973,6077,6446,6455,17814,119680
Sonoma County,5426,5510,5616,5762,5822,5875,5669,5759,5833,5528,5923,5777,6027,6075,6148,6325,6564,6783,20812,127234
Stanislaus County,7949,8322,7939,7906,8238,7932,8047,7919,7970,7690,7964,8006,8354,8600,8647,8560,8760,8899,24442,172144
Sutter County,1401,1447,1471,1444,1489,1508,1439,1341,1422,1365,1445,1387,1454,1393,1510,1447,1469,1671,4062,30165
Tehama County,935,852,821,990,862,862,823,847,891,841,876,861,913,881,963,1017,969,1013,2430,18647
Trinity County,132,101,138,124,160,120,135,118,150,103,133,144,167,165,170,177,161,192,400,2990
Tulare County,8238,8372,8163,8020,8337,7897,7923,7539,7841,7414,7599,7754,7761,7733,7997,7884,8091,8206,21378,164147
Tuolumne County,468,498,451,484,552,467,501,468,530,532,531,568,606,633,585,694,639,761,1930,11898
Ventura County,10622,11149,11231,11218,11312,11300,11134,11077,11387,10972,11756,11686,12069,12521,12615,12793,13168,13657,36710,248377
Yolo County,2431,2583,2493,2601,2517,2514,2442,2312,2380,2364,2465,2489,2479,2686,2679,2702,2599,2840,18130,63706
Yuba County,1189,1334,1248,1226,1242,1171,1176,1071,1145,1082,1117,1150,1053,1139,1158,1127,1142,1095,3211,24076
