county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,520350,515645,504743,516112,484915,475477,478694,493391,511150,527372,548566,551949,565927,567890,564678,539576,532049,520013,1527981,10946478
Alameda County,20339,20594,20001,20082,18034,17435,17591,17890,18170,18808,19381,19374,20014,19607,19815,19103,18953,18281,54927,398399
Alpine County,9,14,17,8,11,17,8,13,19,15,18,18,15,15,18,21,19,20,52,327
Amador County,277,286,282,267,341,319,346,355,366,381,405,417,413,431,506,464,518,681,1392,8447
Butte County,2377,2250,2263,2376,2277,2285,2321,2432,2648,2697,2702,2751,2965,3025,3065,3032,3021,3038,15034,62559
Calaveras County,317,373,396,408,404,491,456,473,490,584,537,570,654,696,694,671,686,675,1415,10990
Colusa County,326,334,327,353,309,311,345,286,309,352,336,344,360,316,361,366,392,366,923,7016
Contra Costa County,12980,13178,13180,13791,13351,13326,13501,13690,14191,14147,15047,14855,15534,15810,15933,15298,14768,14573,35972,293125
Del Norte County,315,289,304,286,297,295,350,329,312,357,390,379,411,415,402,424,419,434,1144,7552
El Dorado County,1818,1935,1870,1971,2060,2054,2087,2218,2344,2416,2578,2439,2815,2866,2932,2760,2876,2733,5937,48709
Fresno County,15175,14645,14354,14453,13805,13544,13615,13856,14175,14645,15618,15730,15940,16087,15797,15225,14974,14896,41964,308498
Glenn County,413,410,446,419,413,400,438,382,423,433,441,424,451,492,500,493,483,503,1155,9119
Humboldt County,1473,1397,1426,1451,1338,1462,1466,1429,1506,1513,1523,1530,1672,1675,1729,1751,1784,1809,7826,35760
Imperial County,2669,2642,2396,2399,2112,2108,2048,2123,2251,2419,2783,2827,2849,3026,3017,2810,2862,2640,7432,53413
Inyo County,208,155,184,178,183,172,189,217,222,228,253,276,259,294,301,259,273,249,625,4725
Kern County,13073,12672,12316,12498,12019,11766,11627,11747,12263,12868,13049,13447,13805,13673,13438,13032,12894,12551,34385,263123
Kings County,2396,2282,2260,2308,2221,2122,2051,2165,2117,2112,2200,2363,2295,2325,2237,2171,2138,2083,7029,46875
Lake County,690,678,648,669,680,679,693,726,790,790,904,835,977,986,987,969,935,942,2126,16704
Lassen County,300,344,283,283,343,338,395,360,356,398,411,418,420,472,485,433,453,424,1430,8346
Los Angeles County,144386,142381,140456,145385,135801,132347,134875,139631,144571,149543,154020,156576,159697,158464,157049,148068,145818,142342,411331,3042741
Madera County,2341,2321,2141,2228,1985,2018,2032,2073,2079,2204,2192,2241,2323,2361,2366,2307,2252,2179,5970,45613
Marin County,2839,2758,2816,2705,2639,2567,2644,2668,2733,2735,2803,2819,2931,3021,3026,2904,2845,2777,6305,56535
Mariposa County,130,149,169,143,141,138,163,183,175,192,251,215,228,264,276,274,260,235,664,4250
Mendocino County,1061,1079,998,1043,1010,1036,1026,998,1150,1166,1115,1141,1271,1380,1315,1326,1408,1397,3495,24415
Merced County,4191,4298,4189,4296,3995,3923,4054,3864,4412,4453,4656,4647,4718,4841,4886,4423,4578,4452,12392,91268
Modoc County,102,104,81,78,128,102,111,104,136,151,126,140,140,115,166,166,159,147,307,2563
Mono County,168,142,188,119,158,134,159,152,163,153,155,166,167,200,202,164,191,205,546,3532
Monterey County,6963,6771,6576,6333,5652,5576,5443,5540,5938,6015,6432,6558,6533,6502,6337,6263,6349,6327,19866,131974
Napa County,1607,1603,1536,1631,1538,1533,1664,1612,1702,1762,1832,1781,1926,1922,1847,1866,1798,1926,5181,36267
Nevada County,797,948,801,820,972,931,994,1062,1138,1146,1265,1248,1353,1435,1478,1525,1446,1478,3235,24072
Orange County,42979,42359,41920,43549,40511,39747,40113,41882,42520,43946,45543,45795,46228,45768,44615,42176,41780,40305,115755,887491
Placer County,3731,3759,3865,3881,4117,3983,4105,4338,4515,4537,4524,4699,4689,4747,4766,4662,4557,4389,10594,88458
Plumas County,182,198,145,177,203,210,206,222,225,254,261,237,287,301,298,346,315,313,803,5183
Riverside County,28142,28939,28438,29311,28417,28125,28036,28563,30321,31874,33249,32783,33398,34134,33469,32106,30933,29639,80298,630175
Sacramento County,19830,19295,19313,19386,19152,18590,18585,19075,20004,20487,21087,21269,21908,21483,21411,20964,20381,19823,52831,414874
San Benito County,856,897,908,868,939,875,891,893,949,931,1082,989,1031,986,1046,897,978,892,2327,19235
San Bernardino County,30190,30475,29999,30468,30141,29844,29915,31006,32583,33733,35689,35318,36711,36707,36903,35071,34621,32511,88628,680513
San Diego County,42706,41645,39637,39871,36677,36387,36248,37503,39110,40147,42663,42048,43105,43595,43380,41641,40586,40200,134974,862123
San Francisco County,8004,7248,6689,6685,5378,5033,4768,5276,4980,5347,5772,5653,6030,5917,6170,6184,6183,6054,21734,129105
San Joaquin County,10506,10450,10547,10833,10188,10081,10000,10240,10598,11005,11383,11353,11737,11794,11748,11247,11157,10980,29615,225462
San Luis Obispo County,2604,2446,2275,2394,2399,2412,2460,2738,2871,2898,3016,2967,3282,3335,3399,3350,3333,3497,19763,71439
San Mateo County,9753,9852,9217,9276,8495,7965,7771,7912,8114,8150,8544,8788,8917,9039,8946,8718,8422,8522,21602,178003
Santa Barbara County,5605,5180,5197,5184,4641,4712,4606,4932,5109,5357,5679,5860,5826,5997,5947,5724,5682,5687,30600,127525
Santa Clara County,25485,25946,24978,25380,22268,21203,21140,21130,21148,21479,22091,22185,22750,22519,22646,21876,21635,21327,61571,468757
Santa Cruz County,3205,3017,2988,3127,2666,2660,2820,2738,2971,2984,3093,3220,3420,3477,3583,3500,3477,3504,17772,74222
Shasta County,2049,1924,1997,2001,1963,2075,2118,2273,2357,2406,2552,2452,2544,2790,2974,2752,2801,2742,7272,50042
Sierra County,34,32,29,23,28,24,32,33,34,38,45,44,56,40,53,46,46,49,106,792
Siskiyou County,473,425,429,416,447,454,470,487,535,529,556,557,609,608,701,646,726,661,1658,11387
Solano County,5535,5766,5614,5709,5509,5450,5475,5734,5835,6131,6247,6641,6545,6686,6994,6670,6554,6383,17127,126605
Sonoma County,5747,5594,5470,5648,5273,5473,5409,5693,5752,5940,6238,6419,6656,7037,6996,6829,6622,6748,19217,128761
Stanislaus County,7743,7924,7713,7823,7731,7474,7436,7854,8146,8254,8766,8519,8873,9336,8999,8697,8662,8542,21895,170387
Sutter County,1302,1388,1244,1306,1225,1213,1179,1264,1299,1391,1433,1381,1522,1482,1474,1382,1468,1454,3643,28050
Tehama County,828,753,737,826,718,754,759,837,811,893,993,975,955,1007,1052,977,988,979,2267,18109
Trinity County,109,97,117,107,101,119,110,146,156,148,171,197,164,212,187,211,193,190,441,3176
Tulare County,7696,7554,7330,7501,6842,6511,6596,6809,7001,7327,7567,7771,7700,7844,7799,7285,7289,7368,19212,151002
Tuolumne County,487,457,421,463,507,519,541,561,633,564,644,646,714,750,769,796,714,753,2038,12977
Ventura County,11336,11335,11277,11489,10893,11045,11041,11388,11998,12377,12652,13052,13394,13781,13463,12655,12640,12431,33343,251590
Yolo County,2351,2442,2340,2346,2273,2172,2198,2311,2396,2491,2523,2542,2624,2715,2648,2549,2630,2619,17758,61928
Yuba County,1142,1216,1005,1083,996,938,974,975,1030,1071,1080,1060,1116,1087,1077,1051,1124,1088,3077,22190
