county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,500915,499405,500143,498776,510049,498701,497341,516689,517903,511489,508130,504800,501168,494851,509149,517853,512328,519129,1584653,10703472
Alameda County,19571,19910,19823,19588,19808,19723,19738,20226,19945,19445,19241,19114,18962,18272,18591,18496,17822,18313,58220,404808
Alpine County,4,10,11,6,8,4,13,15,20,10,11,14,16,14,13,14,13,13,39,248
Amador County,303,300,273,312,281,303,271,310,305,304,358,329,313,330,338,377,353,358,910,6628
Butte County,2471,2537,2395,2466,2512,2495,2432,2508,2568,2560,2513,2605,2519,2474,2606,2606,2576,2552,12838,58233
Calaveras County,355,390,344,375,355,368,383,435,439,441,414,451,446,457,491,549,538,572,1267,9070
Colusa County,273,314,331,314,325,296,341,363,358,356,339,311,329,310,317,348,322,364,840,6751
Contra Costa County,12644,12757,13229,13342,13945,14045,14041,14789,15263,15169,15194,15451,15264,15318,15513,15616,15308,15321,39492,301701
Del Norte County,302,325,316,327,311,312,302,320,376,342,308,310,303,287,326,336,286,344,889,6622
El Dorado County,1616,1701,1735,1803,1844,1823,1936,2093,2183,2282,2299,2340,2329,2287,2359,2484,2504,2468,5956,44042
Fresno County,15590,15818,15672,16003,16502,15841,15531,16316,16126,15754,15483,15308,15007,14622,14804,15111,14812,14832,41346,320478
Glenn County,391,418,383,361,415,430,431,423,424,448,446,407,377,400,422,414,430,449,1126,8595
Humboldt County,1446,1515,1591,1409,1516,1405,1447,1509,1568,1475,1499,1434,1341,1445,1442,1375,1443,1496,6930,33286
Imperial County,3262,3057,2966,3004,3113,2742,2813,2847,2718,2737,2848,2740,2828,2679,2746,2888,2858,2791,7969,59606
Inyo County,196,243,201,237,191,214,230,200,212,213,204,192,191,191,181,213,222,202,594,4327
Kern County,13977,14168,14549,14459,14766,14876,14731,15100,14943,14757,14267,14145,13809,13577,13854,13962,13729,13651,37601,294921
Kings County,2341,2303,2408,2371,2424,2365,2380,2509,2427,2328,2291,2155,2082,2110,2201,2151,2152,2183,6461,47642
Lake County,713,798,734,712,756,742,708,735,758,728,739,688,742,721,711,766,733,722,1844,15050
Lassen County,304,331,269,276,265,296,290,275,278,290,297,279,314,263,290,319,343,349,1159,6487
Los Angeles County,128808,127800,127551,125062,127804,123480,122542,127014,126387,124189,124010,123323,122827,122423,127309,131113,130436,134188,413462,2689728
Madera County,2290,2308,2312,2423,2457,2371,2370,2455,2484,2481,2403,2342,2232,2318,2355,2328,2319,2315,6239,48802
Marin County,2323,2549,2525,2597,2568,2805,2993,3211,3205,3250,3286,3315,3405,3256,3182,3163,2969,2885,7417,60904
Mariposa County,144,158,151,139,148,154,144,150,151,168,182,134,176,173,158,195,168,193,487,3373
Mendocino County,1034,1023,1072,1103,1004,1062,1070,1057,1048,1111,1030,1019,1022,1030,1037,1062,1087,1088,2753,21712
Merced County,4106,4241,4280,4365,4487,4473,4421,4504,4659,4587,4559,4437,4473,4385,4509,4550,4383,4356,13704,93479
Modoc County,91,83,97,85,97,111,99,93,94,95,97,106,118,99,109,109,104,106,258,2051
Mono County,157,149,141,131,144,148,149,174,155,167,158,160,136,153,151,120,126,141,539,3199
Monterey County,6424,6404,6507,6833,6889,6650,6507,6730,6771,6497,6396,6257,6033,5938,5845,5842,5857,5891,19032,133303
Napa County,1468,1502,1402,1578,1559,1599,1674,1676,1736,1778,1747,1799,1790,1779,1815,1812,1829,1887,5329,35759
Nevada County,837,867,856,828,836,888,954,961,982,962,972,999,1019,1043,1047,1111,1162,1113,2689,20126
Orange County,38649,38051,37517,37717,38228,38080,37962,40014,40314,39986,40436,40397,40486,40062,41939,42998,42061,42607,123881,841385
Placer County,3637,3842,3959,4106,4423,4504,4588,4704,4862,4919,5008,5065,5089,5128,5201,5227,5263,5194,12420,97139
Plumas County,147,174,147,148,153,161,168,179,195,150,194,185,212,151,180,181,188,187,539,3639
Riverside County,30426,30902,31308,31786,32918,32797,33170,34931,35508,34972,34465,34900,34681,34518,35819,36439,36302,36502,101967,714311
Sacramento County,19765,19917,19901,19832,20487,19947,19968,20738,20862,20562,20473,20045,19825,19670,19945,20087,19778,20003,52425,414230
San Benito County,712,726,779,835,804,792,839,870,903,918,891,891,907,854,933,922,917,985,2399,17877
San Bernardino County,31114,30704,30665,30403,31609,30931,31253,32583,32604,32419,31938,31535,31726,31353,32338,33269,32999,33270,94229,666942
San Diego County,44508,43400,42379,42200,42377,39782,39132,40567,40585,39930,39739,38938,38567,37746,38828,39821,39610,40116,141586,869811
San Francisco County,9249,8403,7965,7414,7200,6267,6342,6306,6167,5971,5897,5775,5683,5250,5612,5590,5368,5440,20642,136541
San Joaquin County,9964,10270,10512,10596,11147,11272,10881,11428,11659,11679,11500,11276,11153,11012,11508,11469,11385,11357,30424,230492
San Luis Obispo County,2588,2656,2733,2774,2773,2886,2698,2868,2973,2893,2919,2868,2805,2722,2826,2829,2922,3022,20614,71369
San Mateo County,9229,8962,9208,9198,9382,9372,9034,9292,9212,9297,9263,9107,9027,8719,8747,8900,8644,8579,22083,185255
Santa Barbara County,5820,5800,5682,5749,5876,5557,5517,5662,5616,5551,5577,5316,5162,5046,5272,5379,5405,5481,32009,131477
Santa Clara County,24051,23889,24653,24015,24597,24263,24437,25685,25429,25315,24908,24953,24493,23678,24010,23478,22857,22918,66289,503918
Santa Cruz County,2979,2819,2972,3052,3141,2857,2950,3072,3115,3054,2992,3092,2961,2993,3017,3047,3042,3253,20032,74440
Shasta County,2093,2179,2060,2113,2108,2073,2023,2219,2078,2105,2078,2105,2142,2200,2206,2245,2298,2229,5891,44445
Sierra County,23,23,26,18,23,29,31,26,28,34,26,25,33,31,28,24,30,30,82,570
Siskiyou County,437,454,451,514,488,452,527,513,533,469,478,494,461,456,479,536,548,511,1278,10079
Solano County,5270,5251,5400,5414,5478,5292,5559,5601,5540,5533,5464,5431,5493,5545,5552,5593,5669,5749,15549,114383
Sonoma County,5087,5095,5149,5265,5547,5753,5625,5656,5933,5821,5858,5924,5854,5859,5894,5863,5945,5971,17995,120094
Stanislaus County,7678,7634,7767,7924,8082,8129,8078,8344,8432,8359,8157,8063,8214,8156,8105,8171,8155,8223,21889,167560
Sutter County,1308,1280,1252,1377,1354,1323,1410,1398,1501,1430,1456,1458,1453,1403,1417,1441,1410,1379,3432,28482
Tehama County,817,807,773,758,768,844,853,874,932,880,847,867,830,828,871,825,841,877,2151,17243
Trinity County,102,126,111,144,107,127,111,109,120,140,137,127,123,123,119,118,135,133,350,2562
Tulare County,7449,7559,7876,8168,8236,8236,8149,8441,8440,8159,8196,8070,7866,7716,7927,7972,7762,7585,20119,163926
Tuolumne County,469,469,471,512,485,465,460,490,498,478,522,501,488,466,514,525,529,585,1513,10440
Ventura County,10302,10334,10526,10544,11148,10869,10885,11333,11431,11695,11468,11536,11462,11343,11513,11858,11809,12080,34221,236357
Yolo County,2416,2490,2555,2419,2541,2471,2554,2556,2673,2691,2502,2594,2487,2445,2538,2595,2561,2667,18429,64184
Yuba County,1185,1210,1222,1272,1239,1149,1196,1232,1177,1155,1150,1098,1082,1024,1089,1021,1011,1053,2825,23390
