county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,446864,448867,456877,475511,482261,492689,490685,491909,491004,502313,490724,489939,508770,510234,505637,503911,502165,500874,1515477,10306711
Alameda County,18148,18149,18070,19081,19157,18845,19134,18986,18532,18658,18569,18461,18957,18752,18499,18288,18301,18384,56041,391012
Alpine County,10,11,13,8,8,9,17,8,2,14,8,12,14,17,12,10,20,19,34,246
Amador County,313,313,320,306,339,354,355,308,364,339,317,312,353,358,321,372,340,356,886,6926
Butte County,2227,2264,2279,2389,2281,2460,2456,2325,2384,2438,2454,2323,2408,2472,2441,2411,2508,2418,12161,55099
Calaveras County,387,386,434,406,414,394,453,416,435,446,389,428,424,483,454,485,487,501,1138,8960
Colusa County,258,264,287,310,345,292,309,349,316,325,302,353,362,358,363,336,331,357,847,6664
Contra Costa County,11747,12196,12611,12966,13642,13917,13911,13953,14211,14701,14450,14527,15262,15594,15514,15486,15751,15562,39388,295389
Del Norte County,268,274,262,295,330,318,330,355,347,343,341,319,341,385,345,325,316,298,836,6628
El Dorado County,1607,1633,1748,1882,1803,1973,2037,2087,2093,2172,2143,2193,2307,2429,2422,2431,2457,2416,5534,43367
Fresno County,14186,14308,14403,15055,15409,16028,16193,16052,16298,16670,16065,15713,16463,16213,15984,15628,15345,14998,40311,321322
Glenn County,380,372,360,377,433,453,429,408,408,452,445,446,430,423,473,439,421,394,1057,8600
Humboldt County,1376,1407,1283,1333,1482,1376,1438,1495,1357,1441,1365,1403,1451,1497,1456,1476,1415,1375,6676,32102
Imperial County,2517,2595,2713,2875,3047,3132,3051,2971,3049,3057,2760,2780,2854,2784,2817,2846,2772,2776,7590,58986
Inyo County,181,183,198,201,213,199,249,212,229,193,216,225,199,222,209,208,187,188,504,4216
Kern County,12709,13038,13201,13846,14128,14416,14647,14903,14689,15165,15071,14850,15241,15064,14814,14471,14244,13883,37221,295601
Kings County,2163,2227,2304,2355,2270,2318,2255,2385,2303,2454,2286,2351,2436,2350,2255,2214,2110,1970,6348,47354
