county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,547307,557939,575696,589785,565833,520553,494070,475178,455819,466840,460208,465961,466873,453240,448760,427430,415240,403326,1204536,9994594
Alameda County,21328,21744,22625,22892,22353,21042,19781,18842,17876,18036,17771,17844,17998,17162,16937,16231,15684,15447,49054,390647
Alpine County,12,19,7,14,21,19,12,23,21,20,17,20,18,9,4,6,17,18,46,323
Amador County,340,332,376,378,388,392,362,382,356,394,423,391,403,382,398,380,372,447,1177,8073
Butte County,2610,2785,2880,3107,3163,2890,2739,2710,2666,2709,2762,2732,2799,2700,2642,2538,2353,2320,9577,58682
Calaveras County,419,444,491,534,545,541,489,515,515,543,530,556,580,572,591,535,505,440,764,10109
Colusa County,293,326,354,326,338,315,293,301,288,293,315,314,337,298,310,276,307,275,646,6205
Contra Costa County,13450,14047,14655,15239,14956,13728,13078,12656,12176,12577,12647,12630,12702,12257,12105,11455,10946,10513,26312,258129
Del Norte County,364,394,402,448,425,444,428,428,419,423,414,448,435,423,409,390,387,338,832,8251
El Dorado County,1983,2087,2265,2432,2293,2283,2222,2120,2189,2239,2280,2282,2299,2217,2140,2084,1885,1745,3711,42756
Fresno County,14845,15202,15870,16194,15617,14433,13977,13466,13097,13358,12993,13249,13228,12886,12741,11994,11392,10969,30124,275635
Glenn County,429,466,509,526,489,480,442,440,445,451,434,490,482,440,452,443,408,387,826,9039
Humboldt County,1668,1779,1871,1988,2002,1903,1807,1773,1782,1864,1753,1826,1855,1799,1812,1708,1594,1459,5180,37423
Imperial County,2587,2620,2713,2686,2635,2511,2466,2386,2352,2506,2539,2622,2633,2621,2663,2485,2499,2354,5520,51398
Inyo County,225,232,263,275,268,277,261,273,248,280,264,272,299,252,287,256,238,227,402,5099
Kern County,12294,12633,13150,13483,13126,12298,11536,11373,10764,10945,10645,10797,10830,10362,10456,9779,9195,8772,22694,225132
Kings County,2187,2240,2299,2417,2283,2052,2035,1980,1805,1902,1840,1842,1890,1794,1767,1697,1585,1493,4472,39580
Lake County,729,745,793,857,856,831,770,783,783,836,829,828,870,806,803,735,678,624,1219,15375
