county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,482794,488741,499511,497980,498457,497273,508417,497028,495909,514721,516162,510328,507346,504566,501484,496388,511746,521239,1541933,10592023
Alameda County,19544,19617,19290,19719,19638,19323,19382,19389,19319,19811,19482,19190,18857,18831,18699,18080,18509,18457,56495,401632
Alpine County,6,6,7,12,8,9,11,7,16,12,19,11,10,16,19,12,14,12,39,246
Amador County,294,340,337,331,287,331,313,296,293,317,312,315,373,338,318,343,340,394,895,6767
Butte County,2454,2455,2562,2578,2472,2534,2566,2582,2475,2561,2560,2565,2487,2643,2535,2491,2634,2614,12625,58393
Calaveras County,402,377,367,418,387,407,403,377,397,427,455,447,432,450,473,502,528,537,1160,8946
Colusa County,312,335,285,333,340,320,331,302,343,377,368,361,330,320,334,317,338,363,822,6831
Contra Costa County,12209,12948,13412,13426,13834,13896,14415,14304,14413,15170,15489,15440,15379,15621,15466,15515,15745,15819,38963,301464
Del Norte County,279,322,325,344,343,350,316,338,328,354,379,356,324,317,310,313,347,343,824,6812
El Dorado County,1646,1616,1823,1835,1850,1931,1982,1981,2025,2207,2296,2361,2388,2403,2405,2351,2402,2476,5731,43709
Fresno County,14751,15221,15848,16098,15879,16202,16597,16023,15672,16485,16202,15902,15691,15434,15109,14672,14780,15095,40272,321933
Glenn County,377,393,424,423,391,391,427,430,434,427,425,457,446,390,386,384,423,405,1118,8551
Humboldt County,1426,1522,1404,1519,1581,1406,1497,1397,1415,1492,1560,1479,1499,1428,1346,1456,1469,1418,7043,33357
Imperial County,2925,3096,3191,3037,2974,3079,3094,2756,2777,2830,2738,2764,2866,2762,2842,2697,2789,2880,7884,59981
Inyo County,191,201,190,229,214,226,187,213,220,197,208,209,205,182,191,189,194,209,506,4161
Kern County,13456,13880,14208,14302,14654,14520,14854,14943,14767,15142,14962,14754,14314,14137,13838,13598,13908,13926,36616,294779
Kings County,2294,2225,2360,2265,2410,2303,2420,2318,2362,2439,2400,2284,2239,2141,2050,2087,2138,2103,6371,47209
Lake County,785,736,701,791,757,731,780,739,738,754,760,736,749,685,766,723,699,785,1765,15180
Lassen County,317,316,292,346,291,278,268,314,292,286,288,298,299,271,320,246,288,334,1072,6416
Los Angeles County,121253,121014,124632,124572,124094,122280,124869,120865,120165,124748,124255,122229,122407,122093,121809,121818,127249,131337,392266,2613955
Madera County,2181,2329,2363,2350,2400,2423,2516,2381,2379,2481,2489,2480,2423,2334,2246,2295,2369,2334,6150,48923
