county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,487974,492872,505790,530488,552522,557938,565668,570021,535578,502045,500787,490283,489808,483966,469316,481450,483612,463120,1349815,10513053
Alameda County,19396,19421,20152,20983,21388,21776,21926,21897,21068,19519,19278,18724,18784,18278,17544,18148,18275,17309,53393,407259
Alpine County,10,18,10,12,16,17,10,14,24,14,15,19,23,11,6,12,22,24,62,339
Amador County,288,281,319,314,343,377,373,424,385,381,427,393,432,414,419,425,509,625,1223,8352
Butte County,2269,2330,2410,2586,2820,2801,2774,2952,2932,2727,2794,2818,2843,2950,2779,2986,2916,2763,11368,60818
Calaveras County,344,353,385,419,459,531,477,564,561,557,544,552,606,627,641,611,612,538,1004,10385
Colusa County,287,299,347,295,316,349,332,371,331,276,337,318,342,315,323,346,368,337,817,6706
Contra Costa County,12509,12851,13413,14040,14823,14716,15054,15182,14689,13901,13991,13622,13565,13583,13204,13330,13320,12462,30059,278314
Del Norte County,299,331,346,353,348,389,390,425,448,405,401,441,408,448,427,475,482,406,936,8158
El Dorado County,1716,1765,1959,2030,2083,2303,2410,2447,2476,2315,2419,2408,2534,2521,2362,2492,2415,2159,4708,45522
Fresno County,13308,13506,13882,14498,14979,15166,15731,15753,14802,13906,13841,13618,13692,13699,13378,13730,13625,13200,36273,290587
Glenn County,380,400,450,425,450,481,460,512,459,443,447,480,479,477,468,502,490,441,977,9221
Humboldt County,1412,1503,1595,1621,1646,1699,1719,1784,1848,1732,1700,1744,1772,1817,1857,1921,1882,1743,6402,37397
Imperial County,2207,2193,2262,2330,2494,2541,2722,2731,2500,2505,2594,2549,2593,2507,2567,2601,2653,2594,6094,51237
Inyo County,191,183,203,223,233,240,235,274,272,269,278,244,285,258,282,284,296,268,468,4986
Kern County,11021,11182,11394,11742,12486,12764,12804,13259,12381,11399,11342,11199,11406,11184,11067,11074,11252,10607,27126,236689
Kings County,2067,2100,2100,2235,2261,2196,2347,2394,2128,2047,1983,1953,1959,1947,1905,1954,1949,1845,5419,42789
Lake County,610,583,628,686,735,772,782,840,857,831,827,849,862,837,833,849,804,749,1465,15399
Lassen County,323,355,400,363,380,430,435,471,441,471,466,440,480,446,444,460,482,412,1339,9038
Los Angeles County,145857,146299,149603,157404,164477,165353,165370,165630,155079,145088,143248,138225,137564,135184,131532,134087,134950,131509,391338,3037797
Madera County,1747,1876,1933,2004,2078,2134,2129,2192,2168,1951,1943,1959,1953,1972,1933,2010,2131,1994,5047,41154
Marin County,2688,2708,2825,2887,2944,2928,2944,3144,2935,2761,2769,2809,2772,2740,2655,2768,2726,2499,5474,55976
Mariposa County,153,149,172,187,176,189,227,217,224,245,228,234,238,230,238,236,244,234,554,4375
Mendocino County,979,1073,1085,1109,1220,1273,1216,1226,1323,1323,1232,1266,1386,1397,1335,1413,1399,1299,3004,25558
Merced County,3563,3663,3816,3868,4315,4275,4458,4396,4117,3953,3929,3797,3898,3881,3795,3988,3883,3650,9000,80245
Modoc County,110,101,104,126,146,168,141,147,134,138,170,147,141,164,140,192,176,146,252,2843
Mono County,156,147,154,168,158,169,173,193,170,171,170,164,152,168,173,154,159,156,409,3364
Monterey County,6213,6164,6282,6568,6918,6862,7059,6996,6353,6002,5965,5908,5878,5902,5588,5840,5975,5718,17161,129352
Napa County,1448,1502,1574,1626,1692,1757,1800,1809,1698,1582,1578,1656,1650,1735,1584,1694,1720,1666,4450,34221
Nevada County,827,849,902,1001,1057,1127,1215,1275,1270,1225,1261,1347,1342,1375,1340,1380,1411,1285,2542,24031
Orange County,42726,42540,43360,45442,46759,47458,47851,48254,43764,40123,40080,38963,38870,38036,37045,38364,38812,37754,108675,864876
