county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,489662,500491,498996,499530,498182,509270,497935,496871,515675,517342,511113,507816,504713,501510,495416,510442,519279,514300,1559959,10648502
Alameda County,19644,19348,19896,19731,19575,19617,19612,19541,20001,19773,19295,19042,19017,18794,18171,18544,18407,17917,57391,403316
Alpine County,6,4,10,9,8,8,3,11,14,21,12,8,13,18,11,12,12,13,34,227
Amador County,306,310,327,295,324,311,309,282,326,320,320,370,342,317,330,334,396,338,897,6754
Butte County,2437,2517,2547,2404,2473,2541,2529,2455,2535,2559,2555,2506,2624,2521,2473,2604,2596,2586,12663,58125
Calaveras County,364,340,395,363,393,394,368,400,429,448,451,428,435,454,479,515,556,527,1229,8968
Colusa County,303,277,325,341,311,333,305,335,376,370,353,337,315,343,311,328,357,337,828,6785
Contra Costa County,12643,13140,13143,13603,13657,14204,14208,14296,14982,15415,15264,15270,15517,15382,15420,15630,15737,15393,39139,302043
Del Norte County,319,335,342,330,348,314,323,310,329,377,345,313,313,300,294,342,341,278,880,6733
El Dorado County,1565,1689,1752,1785,1862,1867,1916,1974,2147,2228,2306,2350,2372,2362,2302,2363,2475,2481,5842,43638
Fresno County,15151,15755,15943,15817,16126,16431,15927,15580,16360,16177,15812,15600,15373,15089,14623,14801,15125,14752,40699,321141
Glenn County,377,413,432,380,370,421,429,432,420,432,450,435,385,393,383,425,407,435,1128,8547
Humboldt County,1527,1423,1542,1616,1427,1507,1418,1433,1491,1576,1476,1519,1442,1357,1460,1467,1385,1496,6998,33560
Imperial County,3096,3187,3064,2994,3043,3113,2753,2789,2826,2760,2744,2852,2782,2845,2673,2766,2902,2873,7909,59971
Inyo County,198,192,237,204,224,184,219,223,197,209,204,199,188,190,190,191,215,222,555,4241
Kern County,13745,14053,14201,14574,14463,14751,14865,14705,15112,14918,14735,14247,14109,13830,13590,13905,13931,13638,36752,294124
Kings County,2236,2341,2269,2384,2329,2395,2301,2360,2452,2399,2302,2252,2149,2066,2069,2151,2126,2097,6390,47068
Lake County,724,699,776,748,712,755,740,727,756,734,730,741,701,763,718,716,767,729,1776,15012
Lassen County,300,296,331,298,272,264,299,298,287,290,291,299,274,312,259,282,337,348,1120,6457
Los Angeles County,122997,126783,126272,125975,123703,126418,122311,121400,125852,125385,123349,123257,122720,122291,122077,127356,130980,130783,402827,2652736
Madera County,2272,2308,2294,2366,2384,2469,2371,2389,2494,2463,2470,2406,2317,2244,2292,2354,2344,2301,6063,48601
Marin County,2314,2350,2572,2561,2685,2610,2856,3004,3226,3208,3269,3326,3358,3426,3280,3200,3181,2966,7313,60705
Mariposa County,158,160,155,155,146,156,141,149,153,146,174,178,140,168,174,163,186,160,453,3315
Mendocino County,1013,1048,1021,1060,1107,1017,1060,1030,1072,1039,1093,1023,1017,1023,1045,1051,1098,1092,2720,21629
Merced County,4097,4159,4281,4330,4389,4568,4492,4433,4505,4706,4582,4563,4456,4517,4436,4547,4540,4390,13524,93515
Modoc County,86,88,94,102,92,102,118,105,95,95,92,93,109,114,100,100,108,92,241,2026
Mono County,137,149,151,136,132,144,144,154,170,150,177,153,167,138,150,159,119,135,542,3207
Monterey County,6303,6409,6419,6475,6784,6902,6609,6442,6689,6758,6455,6319,6281,6039,5944,5850,5997,5874,19074,133623
Napa County,1464,1460,1474,1404,1570,1575,1608,1664,1647,1754,1771,1764,1789,1802,1760,1809,1823,1827,5281,35246
Nevada County,821,780,900,870,840,848,934,948,984,1001,977,983,1022,1029,1054,1059,1092,1141,2591,19874
Orange County,37397,38640,37959,37376,37617,38301,38066,37931,39928,40207,39952,40532,40346,40618,40141,42134,43062,42201,121566,833974
Placer County,3712,4041,3983,4202,4308,4570,4606,4729,4801,5014,5028,5101,5176,5179,5180,5256,5300,5240,12289,97715
Plumas County,171,149,182,158,160,163,180,179,181,207,151,189,195,223,161,181,187,179,547,3743
Riverside County,30201,31319,31697,31942,32311,33500,33178,33618,35327,35901,35316,34794,35322,35000,34780,36062,36629,36520,101090,714507
Sacramento County,19677,19943,20108,20148,19990,20658,20074,20056,20802,20912,20783,20584,20111,19907,19778,20007,20285,19853,51744,415420
San Benito County,750,738,755,801,850,823,806,858,903,904,940,900,897,901,866,943,931,952,2441,17959
San Bernardino County,30565,31193,30834,30821,30630,31734,31117,31631,32698,32721,32592,32101,31556,31826,31510,32496,33444,33219,92373,665061
San Diego County,43379,43651,42643,41700,41706,41726,39441,38869,40253,40382,39745,39547,38786,38502,37848,38874,40125,39856,139358,866391
San Francisco County,9117,8606,7857,7440,7087,6988,6101,6285,6192,6136,5931,5864,5810,5654,5264,5643,5628,5454,20041,137098
San Joaquin County,10123,10352,10523,10711,10812,11400,11423,11027,11607,11862,11807,11599,11416,11239,11104,11576,11574,11451,30473,232079
San Luis Obispo County,2676,2577,2680,2716,2821,2814,2905,2706,2840,2978,2911,2936,2882,2807,2737,2836,2893,2999,20602,71316
San Mateo County,9073,9085,8732,8986,8960,9166,9200,8948,9127,9078,9127,9158,8938,8985,8689,8775,8914,8617,21778,183336
Santa Barbara County,5609,5819,5781,5673,5737,5837,5536,5478,5648,5620,5553,5572,5310,5158,5071,5354,5467,5554,31921,131698
Santa Clara County,23640,23970,23798,24470,23768,24308,23906,24133,25451,25140,25079,24685,24751,24262,23449,23898,23394,22746,65596,500444
Santa Cruz County,2883,3019,2808,2934,3021,3111,2839,2940,3044,3095,3038,2955,3110,2944,3016,3012,3050,3124,20163,74106
Shasta County,2033,2088,2218,2075,2142,2150,2081,2032,2246,2099,2116,2068,2123,2172,2196,2214,2258,2319,5753,44383
Sierra County,30,29,24,26,15,21,27,29,29,27,31,25,22,28,28,27,22,31,66,537
Siskiyou County,465,458,472,468,514,492,466,528,524,523,493,484,495,462,465,487,521,562,1327,10206
Solano County,5132,5485,5415,5520,5467,5528,5329,5526,5666,5578,5551,5491,5451,5560,5559,5575,5603,5629,15392,114457
Sonoma County,5161,5110,5127,5179,5195,5549,5735,5589,5680,5899,5828,5836,5875,5830,5888,5895,5842,5952,17688,118858
Stanislaus County,7755,7874,7826,7904,8050,8254,8217,8271,8467,8533,8483,8271,8154,8332,8215,8154,8224,8277,21694,168955
Sutter County,1390,1358,1287,1280,1400,1381,1351,1447,1435,1504,1434,1467,1449,1444,1407,1402,1435,1431,3397,28699
Tehama County,839,815,839,770,791,803,860,877,878,940,894,861,877,823,833,860,809,836,2057,17262
Trinity County,103,89,124,113,133,106,123,116,106,119,148,132,130,123,122,125,121,141,325,2499
Tulare County,7275,7548,7659,7928,8212,8289,8267,8166,8390,8455,8158,8188,8004,7840,7678,7872,8001,7731,19903,163564
Tuolumne County,438,488,460,461,509,490,489,454,495,504,491,536,504,506,480,519,520,534,1494,10372
Ventura County,9914,10434,10331,10573,10527,11108,10837,10839,11229,11418,11641,11392,11545,11407,11359,11507,11876,11880,33541,233358
Yolo County,2393,2409,2519,2626,2447,2558,2475,2586,2585,2704,2709,2545,2636,2546,2500,2630,2616,2768,19608,65860
Yuba County,1158,1191,1190,1219,1253,1223,1132,1154,1216,1171,1129,1170,1115,1105,1024,1104,1008,1023,2873,23458
