county,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18 to 20,Total
All Counties,514905,520835,488196,481668,486677,497152,513789,526818,530856,539001,561339,563161,562370,532829,519424,507909,508347,509866,1494702,10859844
Alameda County,21316,21592,19173,18403,18744,18905,19204,19583,19636,19772,20632,20317,20387,19590,19123,18371,18288,18692,54477,406205
Alpine County,9,15,15,12,10,10,6,18,11,14,18,17,17,15,20,21,20,20,57,325
Amador County,273,248,332,285,319,349,347,358,373,403,406,430,483,444,462,451,531,687,1389,8570
Butte County,2243,2274,2276,2316,2261,2394,2580,2655,2613,2664,2878,2985,3074,3019,2923,3028,2968,3123,14910,63184
Calaveras County,331,355,374,390,405,433,443,512,476,560,595,639,651,634,640,675,716,662,1237,10728
Colusa County,314,348,315,300,335,288,296,329,305,346,354,303,354,327,358,349,371,381,934,6907
Contra Costa County,13100,13357,13242,13309,13422,13661,14225,14217,14550,14485,15337,15582,15927,15016,14587,14400,14433,14296,34921,292067
Del Norte County,317,275,260,292,317,314,326,342,348,367,423,395,403,430,381,433,425,482,1106,7636
El Dorado County,1707,1758,1886,1915,1971,2019,2153,2334,2363,2347,2706,2689,2820,2651,2771,2709,2582,2653,5703,47737
Fresno County,14222,14137,13654,13413,13647,13755,13977,14384,14784,15078,15616,15698,15489,14888,14540,14452,14602,14508,40614,301458
Glenn County,411,414,411,397,428,373,402,429,424,435,443,456,497,516,498,502,475,500,1154,9165
Humboldt County,1470,1423,1321,1456,1489,1420,1462,1470,1531,1533,1659,1676,1737,1736,1758,1754,1890,1957,7673,36415
Imperial County,2449,2515,2111,2079,2091,2145,2192,2278,2492,2571,2682,2859,2931,2741,2768,2543,2650,2615,7184,51896
Inyo County,187,176,184,170,183,216,222,224,226,240,274,272,295,251,301,265,271,270,592,4819
Kern County,11807,11812,11314,11246,11267,11256,11766,12149,12198,12611,13047,12962,13051,12399,12273,12020,12194,11930,32661,249963
Kings County,2183,2293,2219,2153,2020,2084,2124,2051,2149,2225,2207,2270,2200,2113,2080,2059,2138,2046,6784,45398
Lake County,628,664,639,633,635,682,732,775,836,813,961,965,978,956,943,907,940,946,1911,16544
Lassen County,280,260,340,337,378,328,339,373,395,423,417,470,502,434,452,439,434,445,1418,8464
Los Angeles County,147731,150483,141009,138233,140829,144397,149537,153551,152192,156126,161879,160669,158891,148267,144327,140063,140257,139497,408361,3076299
Madera County,2170,2186,1844,1935,1966,2031,1974,2092,1988,2090,2291,2210,2192,2177,2060,2085,2127,2112,5916,43446
Marin County,2838,2823,2670,2550,2642,2628,2736,2755,2745,2843,2982,2991,2981,2919,2861,2796,2751,2833,6315,56659
Mariposa County,135,139,151,134,150,159,151,192,220,199,220,261,254,239,268,240,278,247,624,4261
Mendocino County,1027,1073,1011,1034,997,1021,1119,1141,1116,1117,1276,1378,1348,1304,1336,1442,1407,1422,3386,24955
Merced County,3963,3999,3892,3829,3963,3819,4321,4205,4322,4490,4567,4658,4712,4356,4393,4218,4269,4378,11279,87633
Modoc County,72,75,118,89,108,94,120,138,125,140,121,126,178,149,138,160,146,175,324,2596
Mono County,176,140,165,128,148,158,173,146,182,171,164,186,198,187,180,204,219,178,524,3627
Monterey County,7025,6766,6033,5923,5856,5985,6151,6176,6472,6520,6697,6668,6587,6387,6183,6217,6210,6374,19702,133932
Napa County,1559,1684,1464,1510,1645,1602,1669,1677,1741,1712,1852,1809,1850,1869,1764,1840,1753,1870,5134,36004
Nevada County,797,817,887,859,905,961,1037,1064,1170,1189,1277,1385,1412,1464,1416,1433,1456,1468,3164,24161
Orange County,43927,44960,41778,40962,41239,42751,43720,45311,44962,45378,46702,45883,44946,41989,40870,39548,39866,40220,114229,889241
Placer County,3277,3404,3602,3505,3614,3741,4061,4121,4145,4254,4314,4358,4544,4293,4226,4154,4196,4208,9572,81589
Plumas County,153,163,189,201,196,198,222,243,260,247,286,298,298,332,294,323,338,328,738,5307
Riverside County,25374,26305,25714,26004,26260,26614,27539,28771,29498,29415,30487,31474,31032,29866,28370,27557,27696,27090,71574,576640
Sacramento County,18868,18731,18669,18330,18336,18746,19623,19916,20160,20540,21310,20903,21225,20520,19750,19451,19605,19204,50716,404603
San Benito County,965,918,999,932,935,888,987,965,1069,1000,1033,993,1086,908,974,892,911,903,2273,19631
San Bernardino County,28708,28849,28648,28607,29228,29901,31113,31936,33039,33299,34957,35316,35622,33790,33032,31385,31061,30803,84242,653536
San Diego County,42242,41873,38107,37824,37789,38533,40210,40945,41719,41677,43206,43865,43651,41604,40286,39584,38600,39197,134561,865473
San Francisco County,7948,7765,6004,5659,5361,5688,5454,5750,5715,5794,6267,6143,6375,6194,6125,5935,6041,6345,21423,131986
San Joaquin County,10009,10107,9556,9516,9828,9893,9976,10339,10566,10583,11175,11140,11256,10650,10537,10442,10534,10631,28317,215055
San Luis Obispo County,2276,2403,2315,2380,2412,2628,2806,2876,2936,2876,3280,3308,3404,3317,3203,3295,3422,3432,19445,72014
San Mateo County,10108,9945,8816,8303,8265,8165,8313,8567,8627,8830,9074,9139,9058,8741,8345,8494,8370,8474,22250,179884
Santa Barbara County,5422,5407,4852,4805,4821,5083,5206,5378,5525,5795,5910,6166,5973,5673,5490,5470,5648,5461,30444,128529
Santa Clara County,26137,26533,22938,22194,22114,21955,22199,22224,22099,22102,23153,22829,23149,22098,21387,21080,20956,21695,63515,470357
Santa Cruz County,3282,3334,2837,2804,2866,2819,3090,3074,3134,3251,3465,3576,3696,3473,3412,3477,3453,3745,16961,75749
Shasta County,1946,1928,1888,2009,1984,2156,2259,2350,2366,2407,2518,2658,2831,2688,2764,2724,2895,2844,6881,50096
Sierra County,28,16,34,29,35,30,28,49,38,41,60,50,49,52,61,54,67,61,116,898
Siskiyou County,410,403,416,442,397,459,503,480,547,541,612,586,695,637,721,652,692,719,1684,11596
Solano County,5673,5747,5686,5681,5690,5984,5928,6195,6237,6560,6607,6810,7175,6721,6430,6398,6303,6430,16873,129128
Sonoma County,5634,5580,5249,5473,5437,5647,5683,5958,6115,6352,6659,6950,6992,6757,6575,6680,6759,6831,18679,130010
Stanislaus County,7661,7681,7449,7519,7466,7806,8016,8077,8345,8159,8608,9097,8879,8608,8457,8366,8219,8216,21081,167710
Sutter County,1234,1193,1146,1189,1135,1163,1213,1278,1335,1288,1467,1436,1422,1344,1386,1346,1322,1407,3378,26682
Tehama County,722,702,694,758,693,771,760,868,920,907,910,968,1039,922,979,967,914,976,2246,17716
Trinity County,110,100,87,113,121,130,137,152,166,160,160,212,199,208,185,179,230,225,439,3313
Tulare County,7206,7325,6617,6364,6443,6651,6856,7009,6998,7238,7489,7587,7521,7085,6994,6972,7070,7116,18783,145324
Tuolumne County,429,448,475,515,502,535,597,537,623,590,686,716,750,777,703,748,758,786,2076,13251
Ventura County,11104,11480,10928,11040,11160,11430,12056,12318,12306,12692,13269,13562,13395,12496,12288,12054,12146,12124,32305,250153
Yolo County,2313,2318,2190,2251,2246,2290,2404,2434,2417,2465,2589,2731,2604,2547,2665,2497,2373,2605,17417,61356
Yuba County,999,1116,1003,929,973,1010,1046,1079,1006,1076,1105,1081,1105,1061,1111,1109,1101,1023,3030,21963
